project_id,community_id,community_size
432844875,10,170
432887132,23,40
432922260,23,40
433101168,11,161
433198567,3,652
433213085,0,852
433273516,1,819
433653701,0,852
43372634,4,529
433738623,0,852
433759186,8,215
433773425,3,652
433805355,10,170
4339479,28,24
434218673,20,66
43431363,4,529
43441403,7,232
434434408,0,852
434708679,27,25
434827479,21,46
434919155,2,788
435375021,8,215
435468683,16,85
4354801,4,529
43560507,4,529
435908560,4,529
435955533,2,788
436025393,10,170
436088903,3,652
436236826,0,852
436282917,5,263
436297183,12,148
436466520,0,852
436474538,11,161
43648562,3,652
436520237,9,185
436536364,0,852
436551874,17,84
436599976,2,788
436664109,1,819
436912897,3,652
43701787,28,24
43723161,32,12
437485701,10,170
437782928,15,116
437808595,4,529
437879921,8,215
437944910,6,234
438001215,0,852
438013940,7,232
438056248,11,161
438096425,6,234
438112499,2,788
438175733,5,263
438203376,23,40
438391791,7,232
438414171,2,788
438419937,15,116
438518303,2,788
438625184,1,819
438707344,0,852
439011383,0,852
439055966,7,232
439124081,5,263
439140560,25,32
439232298,17,84
439278330,13,134
439348478,10,170
439728561,1,819
43973779,31,14
43976244,6,234
43977215,11,161
43997752,9,185
440262866,8,215
440289940,6,234
440310078,3,652
440338104,1,819
440346630,14,132
440385562,6,234
440548397,2,788
440582814,6,234
4407129,0,852
440807399,8,215
440858794,6,234
440884432,12,148
440909617,27,25
441206783,6,234
441299511,1,819
441658598,8,215
442405131,3,652
442430,5,263
442441672,17,84
442441933,1,819
442716595,0,852
443226474,1,819
443233186,23,40
4433540,3,652
443730909,2,788
443772950,27,25
443833295,4,529
443997241,9,185
444308997,3,652
444345682,1,819
444403283,3,652
444784633,9,185
444867182,15,116
44498957,2,788
44518776,3,652
445340244,4,529
445376431,5,263
445423122,3,652
445431783,2,788
445557289,6,234
445569784,7,232
445627498,2,788
44611390,4,529
446314577,11,161
4463453,1,819
446567175,1,819
446597121,14,132
44662669,0,852
44667904,0,852
446687759,0,852
446812177,3,652
446937385,11,161
44702033,6,234
447060287,1,819
447103949,1,819
447154263,0,852
447225444,14,132
44733039,7,232
447544746,2,788
44781140,11,161
448111235,3,652
448141955,27,25
448362311,4,529
44838949,12,148
449091292,1,819
449206656,2,788
44921781,0,852
449438333,7,232
449643557,4,529
449657737,3,652
449924556,19,66
450019595,14,132
450105602,5,263
450183621,8,215
450439333,18,71
450466230,13,134
450602159,3,652
45115389,28,24
451254817,1,819
451415113,0,852
451511457,6,234
451543819,11,161
451562730,10,170
451686445,10,170
451988788,14,132
