project_id,dimension,dimension_value,count,within_project_share
30449481,target_entity_type,GitHub_GenSer_Other_Links,593,0.2111071555713777
30449481,target_entity_type,Issue,10,0.00355998576005696
30449481,target_entity_type,IssueComment,1,0.000355998576005696
30449481,target_entity_type,PullRequest,889,0.31648273406906374
30449481,target_entity_type,Repo,805,0.28657885368458524
31315021,target_entity_type,GitHub_Files_FileChanges,481,0.1904950495049505
31315021,target_entity_type,GitHub_GenSer_Other_Links,515,0.20396039603960395
31315021,target_entity_type,Issue,118,0.04673267326732673
31315021,target_entity_type,PullRequest,645,0.25544554455445545
31315021,target_entity_type,Release,4,0.0015841584158415843
31315021,target_entity_type,Repo,762,0.3017821782178218
334274271,target_entity_type,Branch,35,0.00033166238664253427
334274271,target_entity_type,Branch_Tag_GHDir,81,0.0007675615233727222
334274271,target_entity_type,Commit,21841,0.20696680533313117
334274271,target_entity_type,GitHub_Files_FileChanges,22170,0.210084431767571
334274271,target_entity_type,GitHub_GenSer_Other_Links,2178,0.02063887651735542
334274271,target_entity_type,Gollum,8,7.580854551829355e-05
334274271,target_entity_type,Issue,4527,0.04289816069516436
334274271,target_entity_type,IssueComment,447,0.004235802480834652
334274271,target_entity_type,PullRequest,12735,0.12067772839693354
334274271,target_entity_type,PullRequestReview,21,0.00019899743198552056
334274271,target_entity_type,PullRequestReviewComment,178,0.0016867401377820314
334274271,target_entity_type,Release,19,0.00018004529560594718
334274271,target_entity_type,Repo,41277,0.39114366666982536
334274271,target_entity_type,Tag,12,0.00011371281827744033
344711168,target_entity_type,GitHub_Files_FileChanges,13,0.01288404360753221
344711168,target_entity_type,GitHub_GenSer_Other_Links,235,0.23290386521308226
344711168,target_entity_type,Issue,16,0.015857284440039643
344711168,target_entity_type,PullRequest,275,0.27254707631318137
344711168,target_entity_type,Repo,470,0.4658077304261645
346976717,target_entity_type,Branch_Tag_GHDir,2,0.0006287331027978623
346976717,target_entity_type,Commit,23,0.007230430682175416
346976717,target_entity_type,GitHub_Files_FileChanges,1923,0.6045268783401446
346976717,target_entity_type,GitHub_GenSer_Other_Links,142,0.044640050298648225
346976717,target_entity_type,Issue,146,0.04589751650424395
346976717,target_entity_type,IssueComment,6,0.001886199308393587
346976717,target_entity_type,PullRequest,845,0.26563973593209683
346976717,target_entity_type,PullRequestReviewComment,5,0.0015718327569946558
346976717,target_entity_type,Repo,89,0.027978623074504872
351806852,target_entity_type,Branch,4,0.00011416502554442446
351806852,target_entity_type,Branch_Tag_GHDir,12,0.0003424950766332734
351806852,target_entity_type,Commit,1504,0.0429260496047036
351806852,target_entity_type,GitHub_Files_FileChanges,533,0.01521248965379456
351806852,target_entity_type,GitHub_GenSer_Other_Links,617,0.017609955190227473
351806852,target_entity_type,Gollum,13,0.00037103633301937953
351806852,target_entity_type,Issue,6440,0.1838056911265234
351806852,target_entity_type,IssueComment,481,0.013728344321717042
351806852,target_entity_type,PullRequest,24554,0.7008020093044496
351806852,target_entity_type,PullRequestReview,114,0.0032537032280160975
351806852,target_entity_type,PullRequestReviewComment,501,0.014299169449439165
351806852,target_entity_type,Release,25,0.0007135314096526529
351806852,target_entity_type,Repo,227,0.006478865199646088
351806852,target_entity_type,Tag,12,0.0003424950766332734
357707809,target_entity_type,Branch_Tag_GHDir,11,0.001127858094945145
357707809,target_entity_type,Commit,49,0.005024095150210192
357707809,target_entity_type,GitHub_Files_FileChanges,491,0.05034348405618784
357707809,target_entity_type,GitHub_GenSer_Other_Links,711,0.07290064595509074
357707809,target_entity_type,Issue,1635,0.16764072593048293
357707809,target_entity_type,IssueComment,17,0.0017430534194606787
357707809,target_entity_type,PullRequest,5964,0.6115041525684405
357707809,target_entity_type,PullRequestReviewComment,4,0.00041013021634368914
357707809,target_entity_type,Release,2,0.00020506510817184457
357707809,target_entity_type,Repo,869,0.08910078950066647
358917318,target_entity_type,Branch,14,0.0010460251046025104
358917318,target_entity_type,Branch_Tag_GHDir,136,0.010161386730424387
358917318,target_entity_type,Commit,1488,0.11117752540346683
358917318,target_entity_type,GitHub_Files_FileChanges,1430,0.10684399282725643
358917318,target_entity_type,GitHub_GenSer_Other_Links,372,0.027794381350866707
