project_id,repo_name,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share
372536760,oceanbase/oceanbase,36,46,3,5,33,41,36,0.0378071833648393,0.108695652173913
196353673,taosdata/TDengine,20,46,0,0,20,46,20,0.16351606805293,0.3695652173913043
420965027,cnosdb/cnosdb,23,45,3,14,20,31,23,0.1071604938271605,0.2666666666666666
61153677,m3db/m3,11,43,1,4,10,39,11,0.2504056246619794,0.4418604651162791
6650539,neo4j/neo4j,28,42,0,0,28,42,28,0.046485260770975,0.0952380952380952
411979983,elmarti/camadb,7,41,0,0,7,41,7,0.2361689470553242,0.3170731707317073
90541149,heavyai/heavydb,32,40,5,5,27,35,32,0.03625,0.075
574588439,ytsaurus/ytsaurus,18,40,3,9,15,31,18,0.0875,0.15
543276238,libsql/libsql,25,38,0,0,25,38,25,0.1080332409972299,0.2894736842105263
150013328,cberner/redb,20,38,2,3,18,35,20,0.0789473684210526,0.1842105263157894
644742603,cloudberrydb/cloudberrydb,10,38,2,29,8,9,10,0.551246537396122,0.7368421052631579
606125384,paypal/junodb,7,38,0,0,7,38,7,0.2022160664819944,0.2894736842105263
48617634,orbitdb/orbit-db,23,37,0,0,23,37,23,0.070854638422206,0.1621621621621621
9595928,mirage/irmin,20,37,0,0,20,37,20,0.1263696128560993,0.2972972972972973
473235285,polarsignals/frostdb,12,36,1,1,11,35,12,0.1666666666666666,0.3055555555555556
21985130,OpenHFT/Chronicle-Map,5,34,0,0,5,34,5,0.4792387543252596,0.6470588235294118
456549280,ydb-platform/ydb,21,32,2,10,19,22,21,0.09375,0.25
56128733,apache/impala,15,31,1,2,14,29,15,0.0822060353798127,0.1290322580645161
507829396,openGemini/openGemini,11,31,1,1,10,30,11,0.177939646201873,0.3548387096774194
49670957,eclipse/rdf4j,18,30,1,1,17,29,18,0.0733333333333333,0.1333333333333333
520096046,marqo-ai/marqo,15,30,0,0,15,30,15,0.1888888888888889,0.4
168712350,Snapchat/KeyDB,13,29,1,15,12,14,13,0.2889417360285374,0.5172413793103449
528766495,TuGraph-family/tugraph-db,12,29,2,2,10,27,12,0.1843043995243757,0.3448275862068966
791522,basho/riak_kv,10,29,0,0,10,29,10,0.2247324613555291,0.4137931034482758
613723,basho/riak,15,28,1,1,14,27,15,0.1301020408163265,0.2857142857142857
4254338,graphite-project/graphite-web,7,28,0,0,7,28,7,0.4795918367346939,0.6785714285714286
443220240,tinyplex/tinybase,17,27,0,0,17,27,17,0.0672153635116598,0.1111111111111111
186332888,vearch/vearch,8,26,0,0,8,26,8,0.1715976331360947,0.2307692307692307
4407129,postgis/postgis,6,26,0,0,6,26,6,0.4171597633136095,0.6153846153846154
54005538,FirebirdSQL/firebird,15,25,2,2,13,23,15,0.1072,0.24
1374129,BaseXdb/basex,12,24,0,0,12,24,12,0.1666666666666666,0.3333333333333333
55072677,semi-technologies/weaviate,6,24,0,0,6,24,6,0.3541666666666666,0.5416666666666666
91715647,gnocchixyz/gnocchi,6,24,0,0,6,24,6,0.3263888888888889,0.4166666666666667
