metric,rank,value,cdf,ccdf
directed_cross_project_edge_weight,70,1,0.007287870900572618,0.9928162415408641
directed_cross_project_edge_weight,71,1,0.00739198334200937,0.9927121290994274
directed_cross_project_edge_weight,72,1,0.007496095783446122,0.9926080166579906
directed_cross_project_edge_weight,73,1,0.007600208224882873,0.9925039042165539
directed_cross_project_edge_weight,74,1,0.007704320666319625,0.9923997917751172
directed_cross_project_edge_weight,75,1,0.007808433107756377,0.9922956793336803
directed_cross_project_edge_weight,76,1,0.007912545549193128,0.9921915668922436
directed_cross_project_edge_weight,77,1,0.00801665799062988,0.9920874544508068
directed_cross_project_edge_weight,78,1,0.008120770432066632,0.9919833420093701
directed_cross_project_edge_weight,79,1,0.008224882873503384,0.9918792295679334
directed_cross_project_edge_weight,80,1,0.008328995314940135,0.9917751171264966
directed_cross_project_edge_weight,81,1,0.008433107756376887,0.9916710046850599
directed_cross_project_edge_weight,82,1,0.008537220197813639,0.9915668922436232
directed_cross_project_edge_weight,83,1,0.00864133263925039,0.9914627798021863
directed_cross_project_edge_weight,84,1,0.008745445080687142,0.9913586673607496
directed_cross_project_edge_weight,85,1,0.008849557522123894,0.9912545549193128
directed_cross_project_edge_weight,86,1,0.008953669963560645,0.9911504424778761
directed_cross_project_edge_weight,87,1,0.009057782404997397,0.9910463300364394
directed_cross_project_edge_weight,88,1,0.009161894846434149,0.9909422175950026
directed_cross_project_edge_weight,89,1,0.0092660072878709,0.9908381051535659
directed_cross_project_edge_weight,90,1,0.009370119729307652,0.9907339927121291
directed_cross_project_edge_weight,91,1,0.009474232170744404,0.9906298802706923
directed_cross_project_edge_weight,92,1,0.009578344612181156,0.9905257678292556
directed_cross_project_edge_weight,93,1,0.009682457053617907,0.9904216553878188
directed_cross_project_edge_weight,94,1,0.009786569495054659,0.9903175429463821
directed_cross_project_edge_weight,95,1,0.00989068193649141,0.9902134305049454
directed_cross_project_edge_weight,96,1,0.009994794377928162,0.9901093180635085
directed_cross_project_edge_weight,97,1,0.010098906819364914,0.9900052056220718
