node_u,node_v,weight,directed_edge_count
259445878,30449481,16,1
259445878,396867188,10,1
259445878,6838921,22,1
259542436,26038648,61,1
259542436,26255337,16,1
259542436,39840932,65,1
259542436,4879511,31,1
2601923,31315021,38,1
26039547,298763623,16,1
2604249,9342529,21,1
2606873,357707809,19,1
263411323,75425073,11,1
263463271,7437073,15,1
263991304,334274271,41,1
263991304,3786237,400,1
2649214,39283837,26,1
265444433,60377070,169,1
26731785,268163609,33,1
268163609,273741035,31,1
268163609,27974762,56,1
268163609,288485773,14,1
268163609,29326047,103,1
268163609,293399774,19,1
268163609,29551708,33,1
268163609,301727732,39,1
268163609,31315121,656,1
268163609,31986253,115,1
268163609,32363061,10,1
268163609,324754415,10,1
268163609,337259586,24,1
268163609,33832372,106,1
268163609,35894511,188,1
268163609,36046479,40,1
268163609,363245888,12,1
268163609,42685794,26,1
268163609,461884381,12,1
268163609,496125850,15,1
268163609,528342545,17,1
268163609,534354967,16,1
268163609,53757700,57,1
268163609,55077261,95,1
268163609,572035838,33,1
268163609,57920736,93,1
268163609,607218649,23,1
268163609,62350380,196,1
268163609,665462497,10,1
268163609,67836789,243,1
268163609,74896462,51,1
268163609,77428506,13,1
268163609,77956507,21,1
268163609,79874569,24,1
268163609,84517704,15,1
268163609,84983058,68,1
268163609,89145566,43,1
268163609,94262864,64,1
268163609,94702898,48,1
268163609,96382888,31,1
