DBMS_urnform,DBMS_common_name,snapshot_month,repo_state,github_repo_id,github_repo_link,open_source_license,open_source_license_state,manu_labeled_flag,match_state
velox,Velox,202405,VALID_NUMERIC_REPO_ID,388946490,facebookincubator/velox,Y,ELIGIBLE,Y_auto,X_Single
velox,Velox,202406,VALID_NUMERIC_REPO_ID,388946490,facebookincubator/velox,Y,ELIGIBLE,Y_auto,X_Single
velox,Velox,202407,VALID_NUMERIC_REPO_ID,388946490,facebookincubator/velox,Y,ELIGIBLE,Y_auto,X_Single
velox,Velox,202408,VALID_NUMERIC_REPO_ID,388946490,facebookincubator/velox,Y,ELIGIBLE,Y_auto,X_Single
velox,Velox,202409,VALID_NUMERIC_REPO_ID,388946490,facebookincubator/velox,Y,ELIGIBLE,Y_auto,X_Single
velox,Velox,202410,VALID_NUMERIC_REPO_ID,388946490,facebookincubator/velox,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202401,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202402,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202403,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202404,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202405,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202406,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202407,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202408,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202409,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
veloxdb,VeloxDB,202410,VALID_NUMERIC_REPO_ID,569871553,VeloxDB/VeloxDB,Y,ELIGIBLE,Y_auto,X_Single
venndb,,202401,MISSING,,,,UNKNOWN,,
venndb,,202402,MISSING,,,,UNKNOWN,,
venndb,,202403,MISSING,,,,UNKNOWN,,
venndb,VennDB,202404,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,Y,ELIGIBLE,Y_auto,X_Single
venndb,VennDB,202405,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,Y,ELIGIBLE,Y_auto,X_Single
venndb,VennDB,202406,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,Y,ELIGIBLE,Y_auto,X_Single
venndb,VennDB,202407,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,Y,ELIGIBLE,Y_auto,X_Single
venndb,VennDB,202408,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,Y,ELIGIBLE,Y_auto,X_Single
venndb,VennDB,202409,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,Y,ELIGIBLE,Y_auto,X_Single
venndb,VennDB,202410,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202401,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202402,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202403,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202404,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202405,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202406,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202407,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202408,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202409,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vertexdb,VertexDB,202410,VALID_NUMERIC_REPO_ID,238509,stevedekorte/vertexdb,Y,ELIGIBLE,Y_auto,X_Single
vespa,Vespa,202401,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202402,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202403,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202404,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202405,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202406,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202407,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202408,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202409,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
vespa,Vespa,202410,VALID_NUMERIC_REPO_ID,60377070,vespa-engine/vespa,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202401,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202402,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202403,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202404,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202405,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202406,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202407,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202408,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202409,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
victoriametrics,VictoriaMetrics,202410,VALID_NUMERIC_REPO_ID,150954997,VictoriaMetrics/VictoriaMetrics,Y,ELIGIBLE,Y_auto,Normal
virtuoso,Virtuoso,202401,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202402,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202403,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202404,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202405,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202406,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202407,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202408,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202409,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
virtuoso,Virtuoso,202410,VALID_NUMERIC_REPO_ID,3788366,openlink/virtuoso-opensource,Y,ELIGIBLE,Y_auto,Y_Single
vitess,Vitess,202401,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202402,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202403,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202404,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202405,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202406,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202407,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202408,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202409,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
vitess,Vitess,202410,VALID_NUMERIC_REPO_ID,11008207,vitessio/vitess,Y,ELIGIBLE,Y_auto,Normal
viyadb,ViyaDB,202401,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202402,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202403,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202404,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202405,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202406,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202407,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202408,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202409,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
viyadb,ViyaDB,202410,BLANK_REPO_ID,,viyadb/viyadb,Y,ELIGIBLE,Y_auto,X_Single
voldemort,Project Voldemort,202401,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202402,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202403,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202404,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202405,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202406,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
