seed_order,seed_repo_id,seed_repo_name,filename,aggregate_rows_v1,aggregate_rows_v2,aggregate_core_no_drift,source_aggregate_drift_rows,target_aggregate_drift_rows,relation_type_drift_rows,reference_multiplicity_drift,aggregate_join_statuses,admitted_rows,rejected_rows,expected_source_context_repo_id
63,195619075,vdaas/vald,vdaas_vald_2023.csv,40883,40883,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 40883}",40883,0,195619075
64,182849188,delta-io/delta,delta-io_delta_2023.csv,4070,4070,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 4070}",4070,0,182849188
65,86868560,TileDB-Inc/TileDB,TileDB-Inc_TileDB_2023.csv,10587,10587,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 10587}",10587,0,86868560
66,496817075,GlareDB/glaredb,GlareDB_glaredb_2023.csv,9224,9224,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 9224}",9224,0,496817075
67,130688011,meilisearch/meilisearch,meilisearch_meilisearch_2023.csv,16342,16342,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 16342}",16342,0,130688011
68,276293034,apache/age,apache_age_2023.csv,3304,3304,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3304}",3304,0,276293034
69,19816070,MariaDB/server,MariaDB_server_2023.csv,12600,12600,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 12600}",12600,0,19816070
70,31006158,apache/ignite,apache_ignite_2023.csv,31736,31736,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 31736}",31736,0,31006158
71,41349039,dgraph-io/dgraph,dgraph-io_dgraph_2023.csv,10702,10702,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 10702}",10702,0,41349039
72,346976717,4paradigm/OpenMLDB,4paradigm_OpenMLDB_2023.csv,5847,5847,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 5847}",5847,0,346976717
73,206417,apache/couchdb,apache_couchdb_2023.csv,2550,2550,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2550}",2550,0,206417
