DBMS_urnform,github_repo_id,annotation_repo_created_at,activity_repo_created_at,seed_manifest_repo_created_at,project_profile_repo_created_at,all_values_equal,value_missing,source_artifact_paths,provenance_status
tikv,48833910,2015-12-31T04:51:32Z,2015-12-31T04:51:32Z,2015-12-31T04:51:32Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
prestodb,5349565,2012-08-09T01:03:37Z,2012-08-09T01:03:37Z,2012-08-09T01:03:37Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
mimir,385634291,2021-07-13T14:34:08Z,2021-07-13T14:34:08Z,2021-07-13T14:34:08Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
druid,6358188,2012-10-23T19:08:07Z,2012-10-23T19:08:07Z,2012-10-23T19:08:07Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
vitess,11008207,2013-06-27T21:20:28Z,2013-06-27T21:20:28Z,2013-06-27T21:20:28Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
pinot,19961085,2014-05-19T23:27:48Z,2014-05-19T23:27:48Z,2014-05-19T23:27:48Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
duckdb,138754790,2018-06-26T15:04:45Z,2018-06-26T15:04:45Z,2018-06-26T15:04:45Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
greptimedb,480217156,2022-04-11T03:46:48Z,2022-04-11T03:46:48Z,2022-04-11T03:46:48Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
yugabytedb,105944401,2017-10-05T21:56:00Z,2017-10-05T21:56:00Z,2017-10-05T21:56:00Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
wiredtiger,2944302,2011-12-09T00:43:19Z,2011-12-09T00:43:19Z,2011-12-09T00:43:19Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
ferretdb,422821402,2021-10-30T08:06:36Z,2021-10-30T08:06:36Z,2021-10-30T08:06:36Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
hive,206444,2009-05-21T02:31:01Z,2009-05-21T02:31:01Z,2009-05-21T02:31:01Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
