seed_order,seed_repo_id,seed_repo_name,filename,relation_rows,reference_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,source_seed_mismatch_after_admission,affected_source_seed
79,49412556,quickwit-oss/tantivy,quickwit-oss_tantivy_2023.csv,24522,6163,6163,1087,0,0,24522,0,0,0,0,NO
80,449924556,tigrisdata/tigris,tigrisdata_tigris_2023.csv,25545,5039,5039,1300,0,0,25545,0,0,0,0,NO
81,54005538,FirebirdSQL/firebird,FirebirdSQL_firebird_2023.csv,16839,2015,2015,1057,0,0,16839,0,0,0,0,NO
82,372536760,oceanbase/oceanbase,oceanbase_oceanbase_2023.csv,22178,2584,2584,1076,0,0,22178,0,0,0,0,NO
83,5844474,EventStore/EventStore,EventStore_EventStore_2023.csv,26326,4106,4106,1377,0,0,26326,0,0,0,0,NO
84,520096046,marqo-ai/marqo,marqo-ai_marqo_2023.csv,25024,2087,2087,936,0,0,25024,0,0,0,0,NO
85,146459443,vesoft-inc/nebula,vesoft-inc_nebula_2023.csv,15141,2317,2317,908,0,0,15141,0,0,0,0,NO
86,30449481,apache/tinkerpop,apache_tinkerpop_2023.csv,21396,5921,5921,1600,0,0,21396,0,0,0,0,NO
87,462329984,speedb-io/speedb,speedb-io_speedb_2023.csv,17631,3422,3422,1054,0,0,17631,0,0,0,0,NO
88,75425073,pubkey/rxdb,pubkey_rxdb_2023.csv,98728,43463,43463,4100,0,0,98728,0,0,0,0,NO
89,141376301,apache/incubator-hugegraph,apache_incubator-hugegraph_2023.csv,14382,3193,3193,942,0,0,14382,0,0,0,0,NO
90,91593042,bloomberg/comdb2,bloomberg_comdb2_2023.csv,15517,2771,2771,1455,0,0,15517,0,0,0,0,NO
91,94593596,etcd-io/bbolt,etcd-io_bbolt_2023.csv,13069,1940,1940,1093,0,0,13069,0,0,0,0,NO
92,95614931,manticoresoftware/manticoresearch,manticoresoftware_manticoresearch_2023.csv,22784,3872,3872,1295,0,0,22784,0,0,0,0,NO
93,607441698,lancedb/lancedb,lancedb_lancedb_2023.csv,20384,2882,2882,811,0,0,20384,0,0,0,0,NO
94,77385607,JanusGraph/janusgraph,JanusGraph_janusgraph_2023.csv,22707,8201,8201,2013,0,0,22707,0,0,0,0,NO
95,20473418,apache/phoenix,apache_phoenix_2023.csv,10442,820,820,571,0,0,10442,0,0,0,0,NO
96,220186120,codenotary/immudb,codenotary_immudb_2023.csv,32559,18141,18141,1713,0,0,32559,0,0,0,0,NO
97,510607652,pocketbase/pocketbase,pocketbase_pocketbase_2023.csv,23267,1995,1995,1194,0,0,23267,0,0,0,0,NO
98,148087762,georgia-tech-db/eva,georgia-tech-db_eva_2023.csv,24680,6739,6739,950,0,0,24680,0,0,0,0,NO
99,396867188,ArcadeData/arcadedb,ArcadeData_arcadedb_2023.csv,17123,3851,3851,1394,0,0,17123,0,0,0,0,NO
100,456549280,ydb-platform/ydb,ydb-platform_ydb_2023.csv,45192,5728,5728,1152,0,0,45192,0,0,0,0,NO
101,34533675,apache/sedona,apache_sedona_2023.csv,12708,2044,2044,992,0,0,12708,0,0,0,0,NO
102,79317191,typesense/typesense,typesense_typesense_2023.csv,15736,1387,1387,1052,0,0,15736,0,0,0,0,NO
103,125824259,xtdb/xtdb,xtdb_xtdb_2023.csv,12254,1154,1154,767,0,0,12254,0,0,0,0,NO
104,87414843,hyrise/hyrise,hyrise_hyrise_2023.csv,11567,890,890,311,0,0,11567,0,0,0,0,NO
105,678214856,timeplus-io/proton,timeplus-io_proton_2023.csv,12359,2070,2070,617,0,0,12359,0,0,0,0,NO
106,644742603,cloudberrydb/cloudberrydb,cloudberrydb_cloudberrydb_2023.csv,9582,1502,1502,659,0,0,9582,0,0,0,0,NO
107,47973088,gchq/Gaffer,gchq_Gaffer_2023.csv,12240,2201,2201,635,0,0,12240,0,0,0,0,NO
108,305513242,fluree/db,fluree_db_2023.csv,14167,2192,2192,922,0,0,14167,0,0,0,0,NO
109,66783145,couchbase/couchbase-lite-core,couchbase_couchbase-lite-core_2023.csv,11547,889,889,363,0,0,11547,0,0,0,0,NO
110,84458512,RedisGraph/RedisGraph,RedisGraph_RedisGraph_2023.csv,18016,4477,4477,947,0,0,18016,0,0,0,0,NO
111,442441933,mabel-dev/opteryx,mabel-dev_opteryx_2023.csv,26712,16114,16114,1684,0,0,26712,0,0,0,0,NO
112,7437073,apache/jena,apache_jena_2023.csv,9479,1811,1811,817,0,0,9479,0,0,0,0,NO
113,13124802,influxdata/influxdb,influxdata_influxdb_2023.csv,12194,1458,1458,758,0,0,12194,0,0,0,0,NO
114,507829396,openGemini/openGemini,openGemini_openGemini_2023.csv,9216,1475,1475,563,0,0,9216,0,0,0,0,NO
115,6650539,neo4j/neo4j,neo4j_neo4j_2023.csv,7302,1019,1019,675,0,0,7302,0,0,0,0,NO
116,473235285,polarsignals/frostdb,polarsignals_frostdb_2023.csv,10113,919,919,558,0,0,10113,0,0,0,0,NO
117,528766495,TuGraph-family/tugraph-db,TuGraph-family_tugraph-db_2023.csv,4513,400,400,188,0,0,4513,0,0,0,0,NO
118,660776503,paradedb/paradedb,paradedb_paradedb_2023.csv,16645,2933,2933,906,0,0,16645,0,0,0,0,NO
119,170496871,gridgain/gridgain,gridgain_gridgain_2023.csv,13608,1576,1576,481,0,0,13608,0,0,0,0,NO
120,49670957,eclipse/rdf4j,eclipse_rdf4j_2023.csv,8692,1748,1748,639,0,0,8692,0,0,0,0,NO
121,574588439,ytsaurus/ytsaurus,ytsaurus_ytsaurus_2023.csv,33514,2416,2416,781,0,0,33514,0,0,0,0,NO
122,291675222,hstreamdb/hstream,hstreamdb_hstream_2023.csv,7934,522,522,501,0,0,7934,0,0,0,0,NO
123,385356389,vmware/splinterdb,vmware_splinterdb_2023.csv,7820,1072,1072,423,0,0,7820,0,0,0,0,NO
124,160999,apache/zookeeper,apache_zookeeper_2023.csv,8461,1352,1352,583,0,0,8461,0,0,0,0,NO
125,33745913,h2database/h2database,h2database_h2database_2023.csv,5217,590,590,432,0,0,5217,0,0,0,0,NO
