seed_order,seed_repo_id,seed_repo_name,filename,raw_rows,relation_rows_v1,relation_rows_v2,reference_rows_v1,reference_rows_v2,matched_unique,raw_repo_id_missing,unmatched,multi_match,repo_id_conflict,relation_core_no_drift,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,source_seed_mismatch_after_admission
54,198683574,dolthub/dolt,dolthub_dolt_2023.csv,20079,63932,63932,7111,7111,63932,0,0,0,0,PASS,63932,0,0,0,7111,4097,0,0,0
55,298763623,kuzudb/kuzu,kuzudb_kuzu_2023.csv,16792,65542,65542,14468,14468,65542,0,0,0,0,PASS,65542,0,0,0,14468,3130,0,0,0
56,50874442,citusdata/citus,citusdata_citus_2023.csv,16827,64433,64433,15562,15562,64433,0,0,0,0,PASS,64433,0,0,0,15562,3158,0,0,0
57,357707809,quickwit-oss/quickwit,quickwit-oss_quickwit_2023.csv,16147,59690,59690,13200,13200,59690,0,0,0,0,PASS,59690,0,0,0,13200,3391,0,0,0
58,1917262,realm/realm-core,realm_realm-core_2023.csv,13463,51036,51036,10337,10337,51036,0,0,0,0,PASS,51036,0,0,0,10337,2410,0,0,0
59,95817032,edgedb/edgedb,edgedb_edgedb_2023.csv,15819,54654,54654,10026,10026,54654,0,0,0,0,PASS,54654,0,0,0,10026,2918,0,0,0
60,52080367,CUBRID/cubrid,CUBRID_cubrid_2023.csv,9195,33618,33618,5811,5811,33618,0,0,0,0,PASS,33618,0,0,0,5811,1930,0,0,0
61,1050944,infinispan/infinispan,infinispan_infinispan_2023.csv,8939,31529,31529,3367,3367,31529,0,0,0,0,PASS,31529,0,0,0,3367,2061,0,0,0
62,478288303,nuclia/nucliadb,nuclia_nucliadb_2023.csv,22771,102724,102724,37709,37709,102724,0,0,0,0,PASS,102724,0,0,0,37709,9419,0,0,0
63,195619075,vdaas/vald,vdaas_vald_2023.csv,11341,73564,73564,40883,40883,73564,0,0,0,0,PASS,73564,0,0,0,40883,6578,0,0,0
64,182849188,delta-io/delta,delta-io_delta_2023.csv,8612,25620,25620,4070,4070,25620,0,0,0,0,PASS,25620,0,0,0,4070,1748,0,0,0
65,86868560,TileDB-Inc/TileDB,TileDB-Inc_TileDB_2023.csv,10913,43862,43862,10587,10587,43862,0,0,0,0,PASS,43862,0,0,0,10587,2312,0,0,0
66,496817075,GlareDB/glaredb,GlareDB_glaredb_2023.csv,9755,37177,37177,9224,9224,37177,0,0,0,0,PASS,37177,0,0,0,9224,2308,0,0,0
67,130688011,meilisearch/meilisearch,meilisearch_meilisearch_2023.csv,22237,61988,61988,16342,16342,61988,0,0,0,0,PASS,61988,0,0,0,16342,3352,0,0,0
68,276293034,apache/age,apache_age_2023.csv,6699,22526,22526,3304,3304,22526,0,0,0,0,PASS,22526,0,0,0,3304,1958,0,0,0
69,19816070,MariaDB/server,MariaDB_server_2023.csv,16334,63126,63126,12600,12600,63126,0,0,0,0,PASS,63126,0,0,0,12600,4104,0,0,0
