project_id,community_id,community_size
14281190,0,35
143220272,5,86
143328315,2,3
143436277,3,5
14367737,5,86
143867478,1,134
14509169,9,186
1451352,10,169
145156191,1,134
145434487,1,134
146327667,5,86
146459443,3,5
146575135,0,35
14696091,0,35
147511063,4,4
147963112,14,49
148087762,19,9
14812739,3,5
148464499,0,35
149121954,7,165
14934771,5,86
149824037,4,4
150013328,3,5
15045751,1,134
150954997,1,134
150988662,1,134
15111821,1,134
15122806,2,3
151233646,12,28
151619717,3,5
151832185,2,3
15345331,1,134
154744163,1,134
15500883,5,86
15510677,2,3
155119796,2,3
155240458,2,3
155243481,1,134
155368246,9,186
155652490,5,86
156018,3,5
156108485,3,5
156939672,3,5
157310998,4,4
15785507,2,3
157919688,2,3
158256479,4,4
158310651,11,17
158477175,3,5
158975124,0,35
159005377,1,134
159109434,4,4
159271175,8,13
159294525,3,5
159907380,1,134
1604991,3,5
160615620,5,86
160919119,3,5
160999,4,4
161681291,2,3
16189524,0,35
16211818,4,4
1625986,0,35
162869571,3,5
16345015,0,35
163883279,3,5
164047061,2,3
164668916,5,86
165289175,5,86
165536154,10,169
16554739,9,186
16563587,6,28
165758293,4,4
165954705,0,35
166515022,4,4
167499157,1,134
167949879,4,4
1680733,7,165
168712350,3,5
16907502,12,28
16916235,3,5
170366344,14,49
17165658,4,4
17170044,0,35
17192780,1,134
172104891,2,3
17224514,7,165
17234665,4,4
1725199,11,17
172750723,7,165
17286587,0,35
173055585,2,3
173431969,4,4
17359057,0,35
17372733,6,28
17381605,12,28
17391973,3,5
174204333,6,28
17420913,5,86
17451182,1,134
17527989,2,3
1756350,0,35
176278485,8,13
177049645,2,3
177139928,2,3
17714713,0,35
177210627,13,27
177428838,2,3
177727591,1,134
17812502,7,165
178249461,14,49
178576091,6,28
178956163,1,134
18004019,2,3
180687624,3,5
18106269,3,5
18128548,0,35
181782286,6,28
18192493,7,165
18210201,5,86
182299236,11,17
182466444,1,134
18260583,4,4
182849188,4,4
182926332,4,4
18351848,4,4
18369373,1,134
183929744,2,3
184128064,2,3
184227406,1,134
184286875,13,27
184463891,7,165
184981,1,134
185861173,1,134
186022916,1,134
186332888,6,28
186765948,0,35
186899882,2,3
187086161,1,134
187269923,3,5
187523334,3,5
18765044,1,134
187943341,6,28
18906266,6,28
189476904,13,27
1903522,3,5
190416463,6,28
1917262,8,13
191817804,4,4
19257422,12,28
192624594,1,134
192625525,5,86
192625955,1,134
192626254,5,86
192925833,6,28
192958794,8,13
19308738,0,35
19330466,4,4
193784341,1,134
195619075,16,20
195895847,9,186
196057608,7,165
19608522,1,134
196353673,0,35
196414933,1,134
19641638,4,4
19684359,4,4
197015643,11,17
197176365,7,165
197584193,9,186
197814629,0,35
197858776,1,134
19816070,3,5
198288319,5,86
198350484,9,186
198466472,2,3
198616978,6,28
198683574,1,134
19873619,3,5
19953044,14,49
19961085,0,35
199684110,5,86
199921433,3,5
200299178,1,134
200437066,7,165
200663555,3,5
200696780,14,49
20078379,3,5
20089857,8,13
201403923,15,153
201455508,1,134
201517171,5,86
201584981,5,86
20188259,5,86
202483348,4,4
20275545,12,28
20300177,7,165
20321688,7,165
203461509,7,165
204009988,11,17
204020546,4,4
204033634,6,28
2045207,0,35
204671232,6,28
20473418,2,3
205262760,1,134
20537104,6,28
205417,4,4
205564111,19,9
2056549,2,3
20580498,1,134
20587599,4,4
206317,0,35
206339,0,35
206341,0,35
206371,0,35
206402,7,165
206403,0,35
206417,8,13
206424,0,35
206444,4,4
206459,4,4
206483,0,35
20653934,1,134
206686299,0,35
20675635,4,4
20675636,4,4
206791328,3,5
207663235,3,5
20773773,1,134
208060770,2,3
208698479,4,4
208728772,6,28
20904437,6,28
20929025,6,28
209881172,9,186
210029529,4,4
210716005,10,169
21088403,9,186
21099,4,4
210997817,2,3
21193524,4,4
21251069,4,4
212936374,5,86
213836768,5,86
213947642,4,4
21540759,1,134
215566462,1,134
216494674,5,86
216797458,5,86
2174666,3,5
21946092,5,86
21954009,5,86
21985130,4,4
219891102,4,4
220186120,1,134
220391287,0,35
221058575,2,3
2211243,3,5
221862,0,35
221993778,8,13
22234992,9,186
22266795,0,35
222791664,3,5
222887140,1,134
22305416,4,4
223485832,2,3
223490876,4,4
22360263,5,86
224021526,1,134
22446506,5,86
22475123,3,5
22478116,1,134
22484898,3,5
22525984,0,35
22531552,13,27
226417174,5,86
22684655,15,153
22700054,1,134
22711503,3,5
22734848,2,3
22844864,0,35
22855240,1,134
228908078,3,5
22938893,6,28
229877920,2,3
23013460,6,28
230310173,2,3
230595891,12,28
23061798,4,4
230795797,0,35
23086893,3,5
23088740,4,4
23096959,6,28
23206290,0,35
23247808,6,28
2325298,3,5
232539879,1,134
2328181,8,13
233147271,6,28
23315232,10,169
23357588,0,35
23405758,9,186
23418517,4,4
23500865,1,134
2359378,3,5
23641816,3,5
23664475,6,28
23845253,1,134
23982180,12,28
240488592,3,5
24063576,18,101
240846407,4,4
2410676,5,86
241092383,13,27
24130045,2,3
24182261,7,165
242202166,1,134
24355992,2,3
24420506,3,5
24494032,3,5
24560307,2,3
245704608,3,5
24725038,5,86
24776728,4,4
2524488,0,35
252650176,6,28
252745692,11,17
253290187,5,86
254351989,2,3
2544305,7,165
254450741,4,4
2560988,0,35
257485422,6,28
25777459,5,86
25780780,10,169
25872841,1,134
25881432,7,165
25890500,2,3
258933250,5,86
259445878,1,134
259542436,3,5
