project_id,community_id,community_size
146285827,2,652
146313205,4,30
146327667,1,148
146459443,15,32
146468829,13,132
146510094,11,23
146575135,4,30
146678664,2,652
146722095,13,132
1468280,31,24
146879533,33,185
14696091,4,30
147069330,13,132
147069989,3,170
147195610,5,40
147213800,3,170
147342506,5,40
147511063,3,170
147566119,3,170
147740437,7,215
147767244,1,148
147809547,4,30
147850769,4,30
147963112,14,11
148087762,29,134
14812631,0,66
14812739,0,66
148137989,5,40
148253885,6,232
14829536,1,148
1483979,3,170
148464499,3,170
148546580,3,170
148666822,2,652
148698815,0,66
148723815,4,30
149026292,1,148
14904540,25,23
149121954,5,40
149199408,2,652
1493089,28,71
14934771,1,148
149355527,1,148
149638165,13,132
149782046,7,215
149824037,3,170
150013328,10,852
150110305,0,66
150154628,8,85
150225803,1,148
150307921,1,148
150444746,0,66
15045751,17,788
150468186,17,788
15056182,3,170
15062869,7,215
150954997,2,652
150988662,2,652
151068206,1,148
15111821,2,652
151122650,4,30
15122806,0,66
151231787,11,23
151233646,18,234
1512899,22,529
151298737,1,148
151455245,7,215
151619717,15,32
151717145,4,30
151740965,4,30
151760169,2,652
15176189,31,24
151832185,1,148
151846403,10,852
151898169,5,40
152034043,2,652
15208514,3,170
15213446,0,66
1523106,11,23
152424770,5,40
153180924,8,85
153279483,3,170
153315627,20,40
15345331,2,652
153460371,0,66
15357351,2,652
153694833,0,66
1538047,5,40
153882884,2,652
15389347,4,30
153996559,0,66
1539978,4,30
154318300,3,170
15437182,10,852
154422394,14,11
15450627,3,170
15452919,1,148
154606109,3,170
154744163,2,652
154832451,4,30
154962060,0,66
15500883,1,148
15502383,15,32
15510677,1,148
155119796,1,148
155136567,2,652
155220641,15,32
155240458,1,148
155243481,26,263
155286170,1,148
155368246,5,40
155379486,0,66
155609504,1,148
155652490,1,148
155740984,4,30
155749886,2,652
155858802,2,652
155941061,0,66
156018,0,66
156066420,14,11
156108485,17,788
156111871,12,84
156204572,0,66
15625834,8,85
156599958,3,170
156606443,6,232
15661465,4,30
156939672,15,32
156968527,2,652
157008425,2,652
15730865,0,66
157310998,8,85
157397583,4,30
157422219,0,66
157463841,1,148
157514605,2,652
1575956,4,30
157629873,0,66
157680689,2,652
157821911,4,30
157827731,4,30
15785507,13,132
