source_project_id,dimension,category,count,within_object_share
208728772,event_type,IssueCommentEvent,16905,0.584563781596874
208728772,event_type,IssuesEvent,2347,0.08115771638023445
208728772,event_type,PullRequestEvent,3476,0.1201977938379612
208728772,event_type,PullRequestReviewCommentEvent,32,0.001106538953629102
208728772,event_type,PullRequestReviewEvent,7,0.00024205539610636605
208728772,event_type,PushEvent,5052,0.17469483730419447
208728772,event_type,ReleaseEvent,1099,0.03800269718869947
208728772,source_entity_type,CommitComment,1,3.4579342300909435e-05
208728772,source_entity_type,Issue,2347,0.08115771638023445
208728772,source_entity_type,IssueComment,16905,0.584563781596874
208728772,source_entity_type,PullRequest,3476,0.1201977938379612
208728772,source_entity_type,PullRequestReview,7,0.00024205539610636605
208728772,source_entity_type,PullRequestReviewComment,32,0.001106538953629102
208728772,source_entity_type,Push,5052,0.17469483730419447
208728772,source_entity_type,Release,1099,0.03800269718869947
220186120,event_type,IssueCommentEvent,30,0.0398936170212766
220186120,event_type,IssuesEvent,16,0.02127659574468085
220186120,event_type,PullRequestEvent,196,0.26063829787234044
220186120,event_type,PullRequestReviewCommentEvent,21,0.027925531914893616
220186120,event_type,PullRequestReviewEvent,1,0.0013297872340425532
220186120,event_type,PushEvent,393,0.5226063829787234
220186120,event_type,ReleaseEvent,95,0.12632978723404256
220186120,source_entity_type,Issue,16,0.02127659574468085
220186120,source_entity_type,IssueComment,30,0.0398936170212766
220186120,source_entity_type,PullRequest,196,0.26063829787234044
220186120,source_entity_type,PullRequestReview,1,0.0013297872340425532
220186120,source_entity_type,PullRequestReviewComment,21,0.027925531914893616
220186120,source_entity_type,Push,393,0.5226063829787234
220186120,source_entity_type,Release,95,0.12632978723404256
268163609,event_type,IssueCommentEvent,714,0.05526743556002787
268163609,event_type,IssuesEvent,233,0.018035451660345227
268163609,event_type,PullRequestEvent,1203,0.093118662435173
268163609,event_type,PullRequestReviewCommentEvent,138,0.010681941326728076
268163609,event_type,PullRequestReviewEvent,35,0.0027091880176484248
268163609,event_type,PushEvent,10262,0.7943339267745182
268163609,event_type,ReleaseEvent,334,0.025853394225559254
268163609,source_entity_type,Issue,233,0.018035451660345227
268163609,source_entity_type,IssueComment,714,0.05526743556002787
268163609,source_entity_type,PullRequest,1203,0.093118662435173
268163609,source_entity_type,PullRequestReview,35,0.0027091880176484248
268163609,source_entity_type,PullRequestReviewComment,138,0.010681941326728076
268163609,source_entity_type,Push,10262,0.7943339267745182
268163609,source_entity_type,Release,334,0.025853394225559254
30449481,event_type,IssueCommentEvent,181,0.06443574225703097
30449481,event_type,PullRequestEvent,284,0.10110359558561766
30449481,event_type,PullRequestReviewCommentEvent,34,0.012103951584193664
30449481,event_type,PullRequestReviewEvent,1,0.000355998576005696
30449481,event_type,PushEvent,2309,0.822000711997152
30449481,source_entity_type,IssueComment,181,0.06443574225703097
30449481,source_entity_type,PullRequest,284,0.10110359558561766
30449481,source_entity_type,PullRequestReview,1,0.000355998576005696
30449481,source_entity_type,PullRequestReviewComment,34,0.012103951584193664
30449481,source_entity_type,Push,2309,0.822000711997152
31315021,event_type,IssueCommentEvent,78,0.03089108910891089
31315021,event_type,IssuesEvent,3,0.001188118811881188
31315021,event_type,PullRequestEvent,322,0.12752475247524753
31315021,event_type,PullRequestReviewEvent,1,0.00039603960396039607
31315021,event_type,PushEvent,2115,0.8376237623762376
31315021,event_type,ReleaseEvent,6,0.002376237623762376
31315021,source_entity_type,Issue,3,0.001188118811881188
31315021,source_entity_type,IssueComment,78,0.03089108910891089
31315021,source_entity_type,PullRequest,322,0.12752475247524753
31315021,source_entity_type,PullRequestReview,1,0.00039603960396039607
31315021,source_entity_type,Push,2115,0.8376237623762376
31315021,source_entity_type,Release,6,0.002376237623762376
334274271,event_type,CommitCommentEvent,3,2.842820456936008e-05
334274271,event_type,IssueCommentEvent,78171,0.7407537264638157
334274271,event_type,IssuesEvent,2779,0.026333993499417223
334274271,event_type,PullRequestEvent,11294,0.10702271413545092
334274271,event_type,PullRequestReviewCommentEvent,1176,0.011143856191189152
334274271,event_type,PullRequestReviewEvent,246,0.0023311127746875266
334274271,event_type,PushEvent,10944,0.10370609026902558
334274271,event_type,ReleaseEvent,916,0.008680078461844612
334274271,source_entity_type,CommitComment,3,2.842820456936008e-05
334274271,source_entity_type,Issue,2779,0.026333993499417223
334274271,source_entity_type,IssueComment,78171,0.7407537264638157
