k,top_k,project_id,run_count,inclusion_count,inclusion_frequency
1000,10,268163609,20,2,0.1
1000,20,11225014,20,20,1.0
1000,20,138754790,20,20,1.0
1000,20,16563587,20,20,1.0
1000,20,166515022,20,20,1.0
1000,20,17165658,20,20,1.0
1000,20,197814629,20,20,1.0
1000,20,268163609,20,20,1.0
1000,20,334274271,20,20,1.0
1000,20,358917318,20,20,1.0
1000,20,453068084,20,20,1.0
1000,20,507775,20,20,1.0
1000,20,60246359,20,20,1.0
1000,20,6838921,20,20,1.0
1000,20,6934395,20,20,1.0
1000,20,156018,20,19,0.95
1000,20,190416463,20,19,0.95
1000,20,41986369,20,19,0.95
1000,20,388946490,20,16,0.8
1000,20,208728772,20,10,0.5
1000,20,302827809,20,8,0.4
1000,20,130688011,20,7,0.35
1000,20,619008516,20,7,0.35
1000,20,351806852,20,6,0.3
1000,20,49876476,20,5,0.25
1000,20,480217156,20,3,0.15
1000,20,385634291,20,1,0.05
1000,50,105944401,20,20,1.0
1000,50,11225014,20,20,1.0
1000,50,114619105,20,20,1.0
1000,50,130688011,20,20,1.0
1000,50,138754790,20,20,1.0
1000,50,150954997,20,20,1.0
1000,50,156018,20,20,1.0
1000,50,16563587,20,20,1.0
1000,50,166515022,20,20,1.0
1000,50,17165658,20,20,1.0
1000,50,190416463,20,20,1.0
1000,50,197814629,20,20,1.0
1000,50,19961085,20,20,1.0
1000,50,208728772,20,20,1.0
1000,50,23096959,20,20,1.0
1000,50,23357588,20,20,1.0
1000,50,268163609,20,20,1.0
1000,50,302827809,20,20,1.0
1000,50,334274271,20,20,1.0
1000,50,351806852,20,20,1.0
1000,50,358917318,20,20,1.0
1000,50,3786237,20,20,1.0
1000,50,388946490,20,20,1.0
1000,50,41986369,20,20,1.0
1000,50,422821402,20,20,1.0
1000,50,453068084,20,20,1.0
1000,50,480217156,20,20,1.0
1000,50,49876476,20,20,1.0
1000,50,507775,20,20,1.0
1000,50,51905353,20,20,1.0
1000,50,52855516,20,20,1.0
1000,50,546206616,20,20,1.0
1000,50,60246359,20,20,1.0
1000,50,619008516,20,20,1.0
1000,50,6358188,20,20,1.0
1000,50,6838921,20,20,1.0
1000,50,6934395,20,20,1.0
1000,50,75425073,20,20,1.0
1000,50,927442,20,20,1.0
1000,50,11008207,20,19,0.95
1000,50,20300177,20,19,0.95
1000,50,385634291,20,19,0.95
1000,50,20587599,20,18,0.9
1000,50,341631350,20,18,0.9
1000,50,911980,20,18,0.9
1000,50,9342529,20,17,0.85
1000,50,660776503,20,16,0.8
1000,50,30449481,20,14,0.7
1000,50,198683574,20,11,0.55
1000,50,11695619,20,10,0.5
1000,50,5349565,20,10,0.5
1000,50,357707809,20,8,0.4
1000,50,99919302,20,6,0.3
1000,50,7437073,20,5,0.25
1000,50,496817075,20,2,0.1
1000,50,510607652,20,2,0.1
1000,50,77385607,20,2,0.1
1000,50,13124802,20,1,0.05
1000,50,339993112,20,1,0.05
1000,50,396856161,20,1,0.05
1000,50,60377070,20,1,0.05
1000,50,79317191,20,1,0.05
1000,50,95614931,20,1,0.05
