node_u,node_v,weight,directed_edge_count
11225014,617032611,1,1
11225014,62048325,1,1
11225014,62147469,3,1
11225014,623298152,3,1
11225014,62475947,3,1
11225014,6247705,8,1
11225014,627000131,1,1
11225014,629776015,6,1
11225014,631248785,1,1
11225014,63188538,1,1
11225014,63375710,1,1
11225014,63749548,1,1
11225014,641719344,1,1
11225014,644648781,1,1
11225014,65915265,5,1
11225014,66314075,4,1
11225014,66737655,2,1
11225014,667698077,1,1
11225014,673423409,1,1
11225014,681850196,1,1
11225014,68964263,3,1
11225014,690790894,1,1
11225014,7004897,6,1
11225014,704732969,3,1
11225014,7083242,1,1
11225014,713926835,1,1
11225014,71823870,1,1
11225014,721065451,2,1
11225014,730883434,1,1
11225014,74654732,1,1
11225014,75216133,1,1
11225014,7691631,1,1
11225014,78234185,4,1
11225014,7823926,17,1
11225014,7877397,1,1
11225014,78874920,1,1
11225014,79188507,5,1
11225014,79954708,10,1
11225014,81355383,2,1
11225014,8393979,8,1
11225014,84131481,1,1
11225014,8425622,2,1
11225014,85069480,2,1
11225014,88013053,1,1
11225014,88674404,3,1
11225014,89188193,2,1
11225014,90636971,9,1
11225014,911980,2,1
11225014,92132038,10,1
11225014,92569428,1,1
11225014,93163073,7,1
11225014,93535342,1,1
11225014,94593596,97,2
11225014,95143992,1,1
11225014,96237042,12,1
11225014,96570421,2,1
11225014,99737692,4,1
11225909,334274271,19,1
11225909,3786237,2,1
11225909,77385607,7,1
112302758,453068084,1,1
11233996,20587599,1,1
11233996,3786237,111,1
1123727,114619105,2,1
1123727,158975124,10,1
1123727,166515022,1,1
1123727,77385607,52,1
11247824,206444,1,1
112504288,6838921,31,1
1126087,20089857,129,1
1126087,99919302,1,1
11262602,206424,4,1
112638589,385634291,2,1
112655189,16563587,1,1
112655189,41986369,2,1
112736538,507775,1,1
11293703,30449481,1,1
11309795,341631350,6,1
11309795,542714,1,1
113100288,351806852,1,1
113100288,49412556,1,1
113100288,95614931,2,1
113106184,150954997,1,1
113106184,268163609,1,1
113111202,911980,1,1
113455762,911980,5,1
113512596,344711168,1,1
11362278,34533675,2,1
113677956,30449481,1,1
113677956,3786237,2,1
113677984,11695619,10,1
113677984,16189524,5,1
113677984,3786237,2,1
113677984,396867188,14,1
113677984,73235061,6,1
113677984,7437073,5,1
113677984,77385607,44,1
113678060,17165658,5,1
113678060,3786237,5,1
113678060,77385607,22,1
113678093,11695619,12,1
113678093,17165658,3,1
113678093,3786237,7,1
113678112,11695619,11,1
113678112,16189524,5,1
113678112,17165658,2,1
113678112,19961085,1,1
113678112,3786237,3,1
113678112,396867188,10,1
113678112,45732002,6,1
113678112,7437073,5,1
113678112,77385607,4,1
113678133,11695619,15,1
113678133,16189524,8,1
113678133,17165658,2,1
113678133,206686299,15,1
113678133,3786237,6,1
113678133,77385607,5,1
113678153,11695619,6,1
113678153,17165658,2,1
113678153,396867188,10,1
113678153,77385607,21,1
113678275,11695619,1,1
113678275,16189524,5,1
113678275,206686299,5,1
113678275,34533675,1,1
113678275,3786237,1,1
113678275,396867188,7,1
113678275,45732002,5,1
113678275,73235061,3,1
113678303,11695619,3,1
113678351,17165658,1,1
113678351,77385607,20,1
113678408,11695619,17,1
113678408,16189524,13,1
113678408,17165658,2,1
113678408,206686299,15,1
113678408,34533675,1,1
113678408,3786237,120,1
113678408,396867188,15,1
113678408,45732002,11,1
113678408,73235061,12,1
113678408,7437073,5,1
113678408,77385607,24,1
113678674,11695619,29,1
113678772,11695619,3,1
113678772,3786237,1,1
113678772,396867188,1,1
113678772,77385607,25,1
113678857,11695619,6,1
113678857,16189524,10,1
113678857,166515022,1,1
113678857,17165658,8,1
113678857,206686299,6,1
113678857,3786237,341,1
113678857,396867188,8,1
113678857,73235061,6,1
113678874,11695619,5,1
113678874,16189524,5,1
113678874,17165658,2,1
113678874,206686299,5,1
113678874,3786237,1,1
113678874,396867188,9,1
113678874,45732002,5,1
113678874,6358188,7,1
113678874,73235061,3,1
113701924,542714,3,1
11380094,1362490,3,1
11380094,141846986,1,1
11380094,205564111,5,1
11380094,23335281,1,1
11380094,2410676,2,1
11384368,2524488,1,1
113912678,17165658,1,1
113918130,6838921,13,1
11393110,150954997,8,1
114023960,17165658,1,1
11403699,20089857,16,1
11403699,99919302,1,1
11408729,3786237,2,1
114187903,11939484,57,1
114187903,13124802,1,1
114187903,156111871,2,1
114187903,202061775,1,1
114187903,221993778,3,1
114187903,22660515,1,1
114187903,23096959,2,1
114187903,2328181,1,1
114187903,27522271,2,1
114187903,27522282,1,1
114187903,27522295,5,1
114187903,275257814,3,1
114187903,340996636,2,1
114187903,346976717,1,1
114187903,35440404,8,1
114187903,372536760,1,1
114187903,436297183,2,1
114187903,44838949,2,1
114187903,449924556,2,1
114187903,45497910,1,1
114187903,456549280,1,1
114187903,50594316,1,1
114187903,54980593,21,1
114187903,551374215,1,1
114187903,581145740,4,1
114187903,585687628,3,1
114187903,596892,4,1
114187903,59878249,1,1
114187903,606433492,1,1
114187903,619008516,2,1
114187903,660776503,1,1
114187903,6701057,4,1
114187903,678214856,1,1
114187903,75821432,1,1
114187903,90541149,1,1
114312965,206444,2,1
114363116,156018,1,1
11445479,3786237,1,1
11452538,150954997,1,1
11452538,385634291,44,1
11452538,6838921,4,1
11452676,911980,3,1
114577229,453068084,1,1
114619105,129954828,16,1
114619105,13078968,1,1
114619105,13273703,1,1
114619105,141376301,5,1
114619105,144419645,3,1
114619105,147511063,4,1
114619105,148546580,1,1
114619105,154606109,5,1
114619105,158256479,8,1
114619105,159109434,1,1
114619105,16431132,5,1
114619105,166515022,4,1
114619105,167949879,1,1
114619105,1680733,1,1
114619105,17165658,102,2
114619105,173431969,2,1
114619105,177139928,4,1
114619105,1804055,2,1
114619105,18260583,31,1
114619105,182849188,12,1
114619105,183030217,2,1
114619105,188779637,1,1
114619105,189476904,2,1
114619105,192587835,1,1
114619105,192625525,3,1
114619105,196057608,1,1
114619105,197814629,1,1
114619105,2003641,1,1
114619105,200437066,4,1
114619105,20300177,6,1
114619105,2045207,4,1
114619105,205417,2,1
114619105,20580498,1,1
114619105,20587599,3,1
114619105,206317,1,1
114619105,206444,30,1
114619105,210029529,4,1
114619105,21099,2,1
114619105,216581567,3,1
114619105,220602533,5,1
114619105,22305416,6,1
114619105,23088740,81,1
114619105,237409088,1,1
114619105,241092383,6,1
114619105,257485422,5,1
114619105,2604249,1,1
114619105,2606873,1,1
114619105,262289747,1,1
114619105,264043501,1,1
114619105,273382715,1,1
114619105,27729926,1,1
114619105,287743349,2,1
114619105,288485773,5,1
114619105,288487894,1,1
114619105,2888818,4,1
114619105,295598569,3,1
114619105,310611,2,1
114619105,31933589,1,1
114619105,32538871,2,1
114619105,32741886,6,1
114619105,33753632,2,1
114619105,33884891,6,1
114619105,34685800,12,1
114619105,34839383,1,1
114619105,35697461,3,1
114619105,365244061,2,1
114619105,38829639,10,1
114619105,392714630,1,1
114619105,39464018,5,1
114619105,410716689,4,1
114619105,42875585,2,1
114619105,435375021,4,1
114619105,436912897,1,1
114619105,442405131,1,1
114619105,444403283,2,1
114619105,45423600,8,1
114619105,46328956,1,1
114619105,467336443,2,1
114619105,476372928,2,1
114619105,4950187,1,1
114619105,496145136,3,1
114619105,501687,1,1
114619105,50244301,1,1
114619105,503240750,1,1
114619105,50565430,1,1
114619105,50904245,1,1
114619105,509367294,1,1
114619105,51905353,3,1
114619105,522385121,1,1
114619105,52300938,2,1
114619105,527960367,1,1
114619105,537800,2,1
114619105,548730031,1,1
114619105,56353740,1,1
114619105,5695907,1,1
114619105,582822129,2,1
114619105,583525400,2,1
114619105,586840327,1,1
114619105,588458626,2,1
114619105,595272637,1,1
114619105,602818637,3,1
114619105,608077937,1,1
114619105,6207167,3,1
114619105,62117812,1,1
114619105,627263225,3,1
114619105,63044524,1,1
114619105,63749548,1,1
114619105,640116148,3,1
114619105,6742151,2,1
114619105,6818061,5,1
114619105,68181694,1,1
114619105,686261276,2,1
114619105,688272353,2,1
114619105,707560051,2,1
114619105,72700804,1,1
114619105,731515911,3,1
114619105,76474200,43,1
114619105,79096817,2,1
114619105,86742497,1,1
114619105,9283927,4,1
114619105,9290699,1,1
114619105,95084858,1,1
114619105,95343930,5,1
114619105,98013453,5,1
114682244,911980,1,1
114705574,268163609,29,1
114705611,268163609,26,1
114705611,453068084,1,1
114705611,496817075,18,1
114735865,130688011,2,1
114735865,268163609,11,1
114735865,48833910,5,1
11481074,16563587,5,1
11481074,453068084,1,1
11482978,17165658,3,1
11486644,17165658,3,1
11486644,19961085,3,1
1148753,158975124,1,1
1148753,166515022,1,1
1148753,196353673,17,1
1148753,28738447,3,1
1148753,3786237,6,1
1148753,49670957,1,1
1148753,49876476,1,1
1148753,606125384,7,1
114948816,5349565,1,1
115039706,453068084,1,1
115316912,16563587,1,1
115575640,714074,1,1
115740402,507775,1,1
115758461,208728772,1,1
115969499,79317191,1,1
11599760,351806852,30,1
11599760,453068084,2,1
11599760,480217156,1,1
11599760,496817075,2,1
116038660,166515022,3,1
11608365,49876476,2,1
116140523,453068084,2,1
116140523,496817075,1,1
116165188,17165658,4,1
116259506,422821402,17,1
11633363,19816070,2,1
11654790,146468829,2,1
11654790,639434928,2,1
11654790,75425073,1,1
116585275,125824259,1,1
116641240,11695619,2,1
116641240,1374129,2,1
116659368,156018,1,1
116867981,5349565,6,1
116871310,19816070,2,1
116955501,17165658,1,1
11695619,11696086,1,1
11695619,11696117,1,1
11695619,11753735,1,1
11695619,11966919,11,1
11695619,1334607,14,1
11695619,136060027,1,1
11695619,13998001,1,1
11695619,140482476,4,1
11695619,14281190,1,1
11695619,146575135,3,1
11695619,14696091,43,1
11695619,147511063,3,1
11695619,147809547,1,1
11695619,155740984,1,1
11695619,16296100,1,1
11695619,166397747,1,1
11695619,18128548,34,1
11695619,181510702,12,1
11695619,184636558,3,1
11695619,186765948,2,1
11695619,192625955,10,1
11695619,196057608,3,1
11695619,196680411,7,1
11695619,197814629,14,1
11695619,200458979,1,1
11695619,2045207,196,1
11695619,2049404,2,1
11695619,206320,6,1
11695619,206339,4,1
11695619,206371,22,1
11695619,206427,13,1
11695619,210029529,1,1
11695619,215566462,10,1
11695619,24499046,16,1
11695619,25720744,1,1
11695619,2752522,2,1
11695619,27721932,33,1
11695619,27954927,35,1
11695619,283187,4,1
11695619,288485773,10,1
11695619,29102367,55,1
11695619,298223290,7,1
11695619,298328,10,1
11695619,29923817,3,1
11695619,3037907,2,1
11695619,304398999,1,1
11695619,316556151,5,1
11695619,32812675,9,1
11695619,33745913,9,1
11695619,347111615,1,1
11695619,35437397,7,1
11695619,35698342,5,1
11695619,35700771,25,1
11695619,35701030,3,1
11695619,387486196,3,1
11695619,387486323,3,1
11695619,43560507,1,1
11695619,443833295,1,1
11695619,46052837,4,1
11695619,4624165,10,1
11695619,4950187,16,1
11695619,499899955,1,1
11695619,53728068,3,1
11695619,5663857,82,1
11695619,567634,12,1
11695619,60111626,38,1
11695619,607407059,1,1
11695619,64172663,7,1
11695619,6818061,6,1
11695619,711118881,2,1
11695619,722682,2,1
11695619,75753556,1,1
11695619,7691631,1,1
11695619,832680,105,1
11695619,8626555,2,1
116995448,125234630,5,1
116995448,542714,1,1
11708465,3786237,4,1
11726616,268163609,1,1
117380983,453068084,3,1
117701523,7437073,1,1
117906003,276293034,1,1
117965972,302827809,5,1
117965972,99919302,1,1
118105436,41986369,2,1
118105436,453068084,3,1
118498743,95614931,3,1
118517813,453068084,43,1
118649335,138754790,1,1
118668940,543276238,1,1
118668940,546206616,1,1
118764574,911980,1,1
1187853,3786237,3,1
1187853,396867188,1,1
1187853,45732002,14,1
1187853,60377070,3,1
1187853,77385607,15,1
1187853,8039659,2,1
11892534,84240850,1,1
119205516,302827809,1,1
119272629,95614931,1,1
11939484,20089857,36,1
11939484,351806852,28,1
11939484,50874442,17,1
11939484,56128733,3,1
