project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end
6650539,neo4j/neo4j,Graph,1019,190,42,338,449,0.18645731108930325,0.8135426889106968,0.33169774288518156,326,661,989,2.0276073619631902,1.4962178517397882,11.129363449691992
473235285,polarsignals/frostdb,Wide column,919,702,36,82,99,0.763873775843308,0.23612622415669204,0.08922742110990206,120,192,266,1.6,1.3854166666666667,1.7713894592744694
528766495,TuGraph-family/tugraph-db,Graph,400,120,29,226,25,0.3,0.7,0.565,93,132,320,1.4193548387096775,2.4242424242424243,1.3470225872689938
660776503,paradedb/paradedb,"Object Oriented,Relational",2933,1367,135,1006,425,0.46607569041936586,0.5339243095806342,0.34299352199113536,301,494,1134,1.6411960132890366,2.2955465587044532,0.5010266940451745
170496871,gridgain/gridgain,Columnar,1576,1131,0,351,94,0.7176395939086294,0.2823604060913706,0.22271573604060912,113,124,245,1.0973451327433628,1.9758064516129032,4.876112251882272
49670957,eclipse/rdf4j,RDF,1748,993,30,516,209,0.5680778032036613,0.4319221967963387,0.2951945080091533,225,411,1097,1.8266666666666667,2.6690997566909975,7.958932238193018
574588439,ytsaurus/ytsaurus,Document,2416,407,40,1647,322,0.16846026490066227,0.8315397350993378,0.6817052980132451,213,455,887,2.136150234741784,1.9494505494505494,1.0677618069815196
291675222,hstreamdb/hstream,Relational,522,441,23,26,32,0.8448275862068966,0.15517241379310345,0.04980842911877394,53,78,89,1.471698113207547,1.141025641025641,3.3292265571526354
385356389,vmware/splinterdb,Key-value,1072,703,5,220,144,0.6557835820895522,0.34421641791044777,0.20522388059701493,92,239,339,2.597826086956522,1.4184100418410042,2.4668035592060233
160999,apache/zookeeper,Hierarchical,1352,384,53,352,563,0.28402366863905326,0.7159763313609467,0.2603550295857988,142,423,880,2.9788732394366195,2.0803782505910164,14.759753593429158
