project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share,in_degree,in_strength,target_coverage,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,in_lcc
19257422,questdb/questdb,"Relational,Time Series",7967,6078,97,883,909,0.7628969499184135,0.2371030500815865,0.1108321827538596,719,1540,2260,2.141863699582754,1.4675324675324677,9.672826830937714,40,97,3,5,37,92,40,0.0949091295568073,0.26804123711340205,2.0,366.0,0.006802721088435374,41.0,463.0,0.013414634146341463,0.007311589584755455,True
2524488,apache/accumulo,Wide column,5136,3859,189,509,579,0.7513629283489096,0.2486370716510903,0.0991043613707165,782,2162,3195,2.764705882352941,1.4777983348751156,12.232717316906228,38,189,2,3,36,186,38,0.06973488984070994,0.15343915343915343,1.0,3.0,0.003401360544217687,39.0,192.0,0.009446693657219974,0.011943556279964667,True
198683574,dolthub/dolt,Relational,7111,3671,342,1420,1678,0.5162424412881451,0.4837575587118549,0.19969062016594,1273,2603,4042,2.044776119402985,1.552823665001921,4.435318275154004,55,342,1,2,54,340,55,0.15890359426832187,0.3654970760233918,2.0,2.0,0.006802721088435374,57.0,344.0,0.008145363408521303,0.014522508796677241,True
298763623,kuzudb/kuzu,Graph,14468,5839,111,7246,1272,0.4035803151783246,0.5964196848216754,0.5008294166436273,986,1429,7999,1.449290060851927,5.597620713785864,3.2580424366872007,40,111,1,16,39,95,40,0.06517328138949761,0.14414414414414414,0.0,0.0,0.0,40.0,111.0,0.00641025641025641,0.0068062693524546265,True
50874442,citusdata/citus,Relational,15562,11078,2119,1693,672,0.7118622285053335,0.2881377714946665,0.1087906438761084,658,1314,1849,1.9969604863221884,1.4071537290715372,7.909650924024641,26,2119,1,1835,25,284,26,0.7543789632487565,0.8659745162812648,0.0,0.0,0.0,26.0,2119.0,0.0,0.002305404017273244,True
357707809,quickwit-oss/quickwit,Document,13200,7721,2032,1098,2349,0.5849242424242425,0.4150757575757576,0.0831818181818181,922,1517,2384,1.6453362255965294,1.5715227422544495,2.713210130047913,114,2032,2,57,112,1975,114,0.03155176622853245,0.11269685039370078,3.0,44.0,0.01020408163265306,116.0,2076.0,0.009145427286356821,0.013243266322770963,True
1917262,realm/realm-core,"Object Oriented,Document",10337,6582,140,2900,715,0.6367418012963142,0.3632581987036858,0.2805456128470542,660,1247,4924,1.8893939393939396,3.948676824378509,12.53388090349076,22,140,2,3,20,137,22,0.12571428571428572,0.2357142857142857,0.0,0.0,0.0,22.0,140.0,0.004329004329004329,0.004700378312161124,True
95817032,edgedb/edgedb,"Object Oriented,Relational",10026,7834,178,1241,773,0.7813684420506682,0.2186315579493317,0.1237781767404747,888,1309,1812,1.4740990990990992,1.384262796027502,6.50239561943874,42,178,2,3,40,175,42,0.117030677944704,0.25842696629213485,0.0,0.0,0.0,42.0,178.0,0.0,0.007209425177181117,True
52080367,CUBRID/cubrid,"Object Oriented,Relational",5811,2992,6,2527,286,0.5148855618654277,0.4851144381345724,0.4348649113749785,793,1112,1526,1.4022698612862547,1.3723021582733812,7.860369609856263,4,6,0,0,4,6,4,0.33333333333333337,0.5,0.0,0.0,0.0,,,,,False
1050944,infinispan/infinispan,Key-value,3367,818,97,1052,1400,0.2429462429462429,0.7570537570537571,0.3124443124443124,945,1954,2482,2.067724867724868,1.27021494370522,13.152635181382614,46,97,2,2,44,95,46,0.050271017111276434,0.16494845360824742,0.0,0.0,0.0,46.0,97.0,0.001932367149758454,0.011201192560487764,True
