source_project_id,target_project_id,weight,multiplicity,is_self_loop,source_is_seed,target_is_seed
11225014,21306961,11,11,False,True,False
11225014,213852395,1,1,False,True,False
11225014,21591001,5,5,False,True,False
11225014,216797458,9,9,False,True,False
11225014,21704134,1,1,False,True,False
11225014,221787679,1,1,False,True,False
11225014,23096959,32,32,False,True,False
11225014,232539879,13,13,False,True,False
11225014,23357588,1,1,False,True,False
11225014,23362234,3,3,False,True,False
11225014,234839116,5,5,False,True,False
11225014,23845253,3,3,False,True,False
11225014,242202166,37,37,False,True,False
11225014,247430773,1,1,False,True,False
11225014,249152133,1,1,False,True,False
11225014,25494583,1,1,False,True,False
11225014,25872841,1,1,False,True,False
11225014,259445878,229,229,False,True,False
11225014,25951358,1,1,False,True,False
11225014,259933623,4,4,False,True,False
11225014,263165647,1,1,False,True,False
11225014,265183027,1,1,False,True,False
11225014,265621392,1,1,False,True,False
11225014,27051771,2,2,False,True,False
11225014,27096595,3,3,False,True,False
11225014,27146054,21,21,False,True,False
11225014,27483832,2,2,False,True,False
11225014,27522241,28,28,False,True,False
11225014,27522271,35,35,False,True,False
11225014,27522282,24,24,False,True,False
11225014,27522295,25,25,False,True,False
11225014,2755696,5,5,False,True,False
11225014,27729880,9,9,False,True,False
11225014,27729907,125,125,False,True,False
11225014,279376765,1,1,False,True,False
11225014,27945817,2,2,False,True,False
11225014,28011464,2,2,False,True,False
11225014,28352089,7,7,False,True,False
11225014,286108332,1,1,False,True,False
11225014,296235125,1,1,False,True,False
11225014,301573344,1,1,False,True,False
11225014,30828052,1,1,False,True,False
11225014,3087541,2,2,False,True,False
11225014,314337176,9,9,False,True,False
11225014,3168225,7,7,False,True,False
11225014,31792824,3,3,False,True,False
11225014,328806334,2,2,False,True,False
11225014,330802289,3,3,False,True,False
11225014,33352201,19,19,False,True,False
11225014,36552873,1,1,False,True,False
11225014,367361729,5,5,False,True,False
11225014,368683828,1,1,False,True,False
11225014,3698588,1,1,False,True,False
11225014,37326770,3,3,False,True,False
11225014,378817967,1,1,False,True,False
11225014,383185912,10,10,False,True,False
11225014,38744670,1,1,False,True,False
11225014,38800748,1,1,False,True,False
11225014,39907649,2,2,False,True,False
11225014,40219422,1,1,False,True,False
11225014,414314563,5,5,False,True,False
11225014,416231913,7,7,False,True,False
11225014,421101922,32,32,False,True,False
11225014,43111018,1,1,False,True,False
11225014,43225113,36,36,False,True,False
11225014,438414171,1,1,False,True,False
11225014,438518303,1,1,False,True,False
11225014,45226685,4,4,False,True,False
11225014,45446294,5,5,False,True,False
11225014,46089560,1,1,False,True,False
11225014,46394186,8,8,False,True,False
11225014,464597232,1,1,False,True,False
11225014,47574295,1,1,False,True,False
11225014,476635419,1,1,False,True,False
11225014,480401263,1,1,False,True,False
11225014,486125557,1,1,False,True,False
11225014,490359003,1,1,False,True,False
11225014,49412249,1,1,False,True,False
11225014,497825138,1,1,False,True,False
11225014,501929647,1,1,False,True,False
11225014,516678127,5,5,False,True,False
11225014,52034309,27,27,False,True,False
11225014,52300938,1,1,False,True,False
11225014,523428811,5,5,False,True,False
11225014,52589524,1,1,False,True,False
11225014,53311716,1,1,False,True,False
11225014,535259589,4,4,False,True,False
11225014,53618789,6,6,False,True,False
11225014,543610387,1,1,False,True,False
11225014,54596517,1,1,False,True,False
11225014,55425573,5,5,False,True,False
11225014,56419418,1,1,False,True,False
11225014,56420035,1,1,False,True,False
11225014,56421126,2,2,False,True,False
11225014,56422769,1,1,False,True,False
11225014,56423106,1,1,False,True,False
11225014,56424832,1,1,False,True,False
11225014,56425027,1,1,False,True,False
11225014,565762670,1,1,False,True,False
11225014,571342238,42,42,False,True,False
11225014,57333709,6,6,False,True,False
11225014,577711552,1,1,False,True,False
11225014,57912964,7,7,False,True,False
11225014,57939112,12,12,False,True,False
11225014,58821882,1,1,False,True,False
11225014,591138304,1,1,False,True,False
11225014,592251835,1,1,False,True,False
11225014,59526988,3,3,False,True,False
11225014,595845716,2,2,False,True,False
11225014,601810020,1,1,False,True,False
11225014,605563260,1,1,False,True,False
11225014,610379912,1,1,False,True,False
11225014,612534336,1,1,False,True,False
11225014,615167571,1,1,False,True,False
11225014,61567949,5,5,False,True,False
11225014,615721582,1,1,False,True,False
11225014,616264853,1,1,False,True,False
11225014,617032611,1,1,False,True,False
11225014,62048325,1,1,False,True,False
11225014,62147469,3,3,False,True,False
11225014,623298152,3,3,False,True,False
11225014,62475947,3,3,False,True,False
11225014,6247705,8,8,False,True,False
11225014,627000131,1,1,False,True,False
11225014,629776015,6,6,False,True,False
11225014,631248785,1,1,False,True,False
11225014,63188538,1,1,False,True,False
11225014,63375710,1,1,False,True,False
11225014,63749548,1,1,False,True,False
11225014,641719344,1,1,False,True,False
11225014,644648781,1,1,False,True,False
11225014,65915265,5,5,False,True,False
11225014,66314075,4,4,False,True,False
11225014,66737655,2,2,False,True,False
11225014,667698077,1,1,False,True,False
11225014,673423409,1,1,False,True,False
11225014,681850196,1,1,False,True,False
11225014,68964263,3,3,False,True,False
11225014,690790894,1,1,False,True,False
11225014,7004897,6,6,False,True,False
11225014,704732969,3,3,False,True,False
11225014,7083242,1,1,False,True,False
11225014,713926835,1,1,False,True,False
11225014,71823870,1,1,False,True,False
11225014,721065451,2,2,False,True,False
11225014,730883434,1,1,False,True,False
11225014,74654732,1,1,False,True,False
11225014,75216133,1,1,False,True,False
11225014,7691631,1,1,False,True,False
11225014,78234185,4,4,False,True,False
11225014,7823926,17,17,False,True,False
11225014,7877397,1,1,False,True,False
11225014,78874920,1,1,False,True,False
11225014,79188507,5,5,False,True,False
11225014,79954708,10,10,False,True,False
11225014,81355383,2,2,False,True,False
11225014,8393979,8,8,False,True,False
11225014,84131481,1,1,False,True,False
11225014,8425622,2,2,False,True,False
11225014,85069480,2,2,False,True,False
11225014,88013053,1,1,False,True,False
11225014,88674404,3,3,False,True,False
11225014,89188193,2,2,False,True,False
11225014,90636971,9,9,False,True,False
11225014,92132038,10,10,False,True,False
11225014,92569428,1,1,False,True,False
11225014,93163073,7,7,False,True,False
11225014,93535342,1,1,False,True,False
11225014,94593596,43,43,False,True,True
11225014,95143992,1,1,False,True,False
11225014,96237042,12,12,False,True,False
11225014,96570421,2,2,False,True,False
11225014,99737692,4,4,False,True,False
11380094,11380094,30,30,True,True,True
11380094,1362490,3,3,False,True,False
11380094,141846986,1,1,False,True,False
11380094,205564111,5,5,False,True,False
11380094,23335281,1,1,False,True,False
11380094,2410676,2,2,False,True,False
114187903,108761645,1,1,False,True,False
