source_project_id,target_project_id,src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,event_id,event_type,event_time,relation_label_repr,source_evidence_file
41986369,41986369,PRRC_41986369#40443#r1065488560,PullRequestReviewComment,C_41986369@dc597817d39dbac00e1b2266e8bcbe19d0660191,Commit,26328217572,PullRequestReviewCommentEvent,2023-01-10 08:47:18,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40814#r1090293706,PullRequestReviewComment,,GitHub_Files_FileChanges,26734400030,PullRequestReviewCommentEvent,2023-01-30 08:19:35,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#36028#r1064518347,PullRequestReviewComment,C_41986369@0f64aebb5dcb635aa3c5e319eccb0c172d0c0e18,Commit,26304854010,PullRequestReviewCommentEvent,2023-01-09 11:05:24,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#36028#r1064518464,PullRequestReviewComment,C_41986369@0f64aebb5dcb635aa3c5e319eccb0c172d0c0e18,Commit,26304855428,PullRequestReviewCommentEvent,2023-01-09 11:05:28,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#39986#r1065251172,PullRequestReviewComment,C_41986369@a1f401fc4c2894aa7086ca3e2270c30d65453fa2,Commit,26322270187,PullRequestReviewCommentEvent,2023-01-10 01:23:27,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#36028#r1066823385,PullRequestReviewComment,C_41986369@88c63f8c1b76ba2674e5fa412f9eb637f06aa135,Commit,26356987045,PullRequestReviewCommentEvent,2023-01-11 10:26:33,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40716#r1080886585,PullRequestReviewComment,I_41986369#40724,Issue,26524455036,PullRequestReviewCommentEvent,2023-01-19 07:23:08,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40140,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40126,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40076,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40128,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40173,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
