label_mode,feature,category,n,mean,median,std
exclude_mixed_or_multilabel,out_degree,Relational,72,51.44444444444444,16.5,79.61259877804551
exclude_mixed_or_multilabel,out_degree,Time Series,7,28.857142857142858,7.0,40.41216224285527
exclude_mixed_or_multilabel,out_degree,Vector,6,54.166666666666664,11.0,73.82795315235731
exclude_mixed_or_multilabel,out_strength,Document,44,201.4090909090909,15.5,452.73978964161716
exclude_mixed_or_multilabel,out_strength,Graph,18,380.0,54.5,818.5005659561807
exclude_mixed_or_multilabel,out_strength,Key-value,49,215.77551020408163,16.0,751.462941681816
exclude_mixed_or_multilabel,out_strength,RDF,5,108.0,20.0,211.65538027652403
exclude_mixed_or_multilabel,out_strength,Relational,72,471.47222222222223,34.5,975.6595886990218
exclude_mixed_or_multilabel,out_strength,Time Series,7,199.57142857142858,28.0,260.031316795277
exclude_mixed_or_multilabel,out_strength,Vector,6,1342.6666666666667,259.5,2035.6783308437184
exclude_mixed_or_multilabel,in_degree,Document,44,0.6136363636363636,0.0,1.3156642869122188
exclude_mixed_or_multilabel,in_degree,Graph,18,0.8333333333333334,0.0,1.6179144164088315
exclude_mixed_or_multilabel,in_degree,Key-value,49,1.469387755102041,0.0,3.6406389138007453
exclude_mixed_or_multilabel,in_degree,RDF,5,0.2,0.0,0.44721359549995804
exclude_mixed_or_multilabel,in_degree,Relational,72,2.3333333333333335,0.5,4.069813298136677
exclude_mixed_or_multilabel,in_degree,Time Series,7,0.2857142857142857,0.0,0.48795003647426666
exclude_mixed_or_multilabel,in_degree,Vector,6,1.8333333333333333,1.5,1.4719601443879746
exclude_mixed_or_multilabel,in_strength,Document,44,11.477272727272727,0.0,55.015637792279854
exclude_mixed_or_multilabel,in_strength,Graph,18,3.611111111111111,0.0,9.73857634775462
exclude_mixed_or_multilabel,in_strength,Key-value,49,21.020408163265305,0.0,93.57605859137581
exclude_mixed_or_multilabel,in_strength,RDF,5,0.2,0.0,0.44721359549995804
exclude_mixed_or_multilabel,in_strength,Relational,72,22.25,0.5,64.80257124093626
exclude_mixed_or_multilabel,in_strength,Time Series,7,2.2857142857142856,0.0,5.6188458397991825
exclude_mixed_or_multilabel,in_strength,Vector,6,1.8333333333333333,1.5,1.4719601443879746
exclude_mixed_or_multilabel,local_clustering,Document,34,0.008113985821535712,0.0,0.020610653729729
exclude_mixed_or_multilabel,local_clustering,Graph,14,0.013180132858134744,0.006470540953299573,0.018368779495134036
exclude_mixed_or_multilabel,local_clustering,Key-value,39,0.011349475740873327,0.0,0.021704391966491123
exclude_mixed_or_multilabel,local_clustering,Relational,62,0.021536367313706808,0.004665614626979377,0.03679394921769339
exclude_mixed_or_multilabel,local_clustering,Time Series,7,0.002878777797268715,0.0,0.005123938512107449
exclude_mixed_or_multilabel,local_clustering,Vector,6,0.005148279233396301,0.002136752136752137,0.008629810100530084
exclude_mixed_or_multilabel,betweenness_brokerage,Document,34,0.005830036473485874,0.001918123894268794,0.008739578585164779
exclude_mixed_or_multilabel,betweenness_brokerage,Graph,14,0.006061765425629225,0.0042040328945447646,0.005815137850224611
exclude_mixed_or_multilabel,betweenness_brokerage,Key-value,39,0.007019056668428523,0.0011984452179201802,0.015241484466986503
exclude_mixed_or_multilabel,betweenness_brokerage,Relational,62,0.014262836406157471,0.003307572414076714,0.02316411566256866
exclude_mixed_or_multilabel,betweenness_brokerage,Time Series,7,0.005341780025840306,0.0007859420814512537,0.00834422076048034
exclude_mixed_or_multilabel,betweenness_brokerage,Vector,6,0.013457861658554391,0.001957657412668255,0.0190553416689719
exclude_mixed_or_multilabel,project_age_years_at_2023_end,Document,44,6.232157301972498,5.62217659137577,4.527813053388194
exclude_mixed_or_multilabel,project_age_years_at_2023_end,Graph,18,6.422845843790402,6.847364818617386,2.69577402107344
exclude_mixed_or_multilabel,project_age_years_at_2023_end,Key-value,48,6.946212639744467,6.257357973990418,3.8892029282890905
exclude_mixed_or_multilabel,project_age_years_at_2023_end,RDF,5,9.095140314852841,9.568788501026694,2.0663601205267677
exclude_mixed_or_multilabel,project_age_years_at_2023_end,Relational,71,5.393296121699397,5.3114305270362765,3.3718446958847994
exclude_mixed_or_multilabel,project_age_years_at_2023_end,Time Series,7,8.604282780874156,9.932922655715265,3.52637792898762
exclude_mixed_or_multilabel,project_age_years_at_2023_end,Vector,6,4.3718913985854435,4.33949349760438,1.9497184253795936
