seed_order,repo_id,repo_name,repo_name_used,activity_count,repo_created_at,category_label,evidence_filename,evidence_path,seed_boundary_reason
38,542714,ravendb/ravendb,ravendb/ravendb,15125,2010-03-02T11:05:30Z,"Key-value,Document",ravendb_ravendb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ravendb_ravendb_2023.csv,activity_threshold_and_frozen_evidence_available
39,158975124,apache/iotdb,apache/iotdb,14712,2018-11-24T21:29:17Z,"Hierarchical,Time Series",apache_iotdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_iotdb_2023.csv,activity_threshold_and_frozen_evidence_available
40,206424,apache/cassandra,apache/cassandra,14020,2009-05-21T02:10:09Z,"Wide column,Key-value",apache_cassandra_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_cassandra_2023.csv,activity_threshold_and_frozen_evidence_available
41,156018,redis/redis,redis/redis,13796,2009-03-21T22:32:25Z,Key-value,redis_redis_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/redis_redis_2023.csv,activity_threshold_and_frozen_evidence_available
42,196353673,taosdata/TDengine,taosdata/TDengine,13449,2019-07-11T08:33:48Z,"Relational,Time Series",taosdata_TDengine_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/taosdata_TDengine_2023.csv,activity_threshold_and_frozen_evidence_available
43,84240850,timescale/timescaledb,timescale/timescaledb,12176,2017-03-07T20:03:41Z,Time Series,timescale_timescaledb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/timescale_timescaledb_2023.csv,activity_threshold_and_frozen_evidence_available
44,9342529,crate/crate,crate/crate,12002,2013-04-10T09:17:16Z,Document,crate_crate_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/crate_crate_2023.csv,activity_threshold_and_frozen_evidence_available
45,150954997,VictoriaMetrics/VictoriaMetrics,VictoriaMetrics/VictoriaMetrics,11965,2018-09-30T09:58:01Z,"Wide column,Time Series",VictoriaMetrics_VictoriaMetrics_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/VictoriaMetrics_VictoriaMetrics_2023.csv,activity_threshold_and_frozen_evidence_available
46,268163609,qdrant/qdrant,qdrant/qdrant,11528,2020-05-30T21:37:01Z,Vector,qdrant_qdrant_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/qdrant_qdrant_2023.csv,activity_threshold_and_frozen_evidence_available
47,6934395,facebook/rocksdb,facebook/rocksdb,10916,2012-11-30T06:16:18Z,Key-value,facebook_rocksdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/facebook_rocksdb_2023.csv,activity_threshold_and_frozen_evidence_available
48,20089857,apache/hbase,apache/hbase,10551,2014-05-23T07:00:07Z,Wide column,apache_hbase_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_hbase_2023.csv,activity_threshold_and_frozen_evidence_available
49,546206616,chroma-core/chroma,chroma-core/chroma,10539,2022-10-05T17:58:44Z,"Document,Vector",chroma-core_chroma_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/chroma-core_chroma_2023.csv,activity_threshold_and_frozen_evidence_available
50,341631350,apache/lucene,apache/lucene,10488,2021-02-23T17:16:56Z,Document,apache_lucene_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_lucene_2023.csv,activity_threshold_and_frozen_evidence_available
51,6838921,prometheus/prometheus,prometheus/prometheus,10481,2012-11-24T11:14:12Z,"Key-value,Time Series",prometheus_prometheus_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/prometheus_prometheus_2023.csv,activity_threshold_and_frozen_evidence_available
52,19257422,questdb/questdb,questdb/questdb,9808,2014-04-28T23:29:15Z,"Relational,Time Series",questdb_questdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/questdb_questdb_2023.csv,activity_threshold_and_frozen_evidence_available
53,2524488,apache/accumulo,apache/accumulo,9738,2011-10-06T07:00:09Z,Wide column,apache_accumulo_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_accumulo_2023.csv,activity_threshold_and_frozen_evidence_available
54,198683574,dolthub/dolt,dolthub/dolt,9686,2019-07-24T17:46:25Z,Relational,dolthub_dolt_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/dolthub_dolt_2023.csv,activity_threshold_and_frozen_evidence_available
55,298763623,kuzudb/kuzu,kuzudb/kuzu,8762,2020-09-26T07:43:06Z,Graph,kuzudb_kuzu_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/kuzudb_kuzu_2023.csv,activity_threshold_and_frozen_evidence_available
56,50874442,citusdata/citus,citusdata/citus,8747,2016-02-01T21:58:39Z,Relational,citusdata_citus_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/citusdata_citus_2023.csv,activity_threshold_and_frozen_evidence_available
57,357707809,quickwit-oss/quickwit,quickwit-oss/quickwit,8429,2021-04-13T22:45:40Z,Document,quickwit-oss_quickwit_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/quickwit-oss_quickwit_2023.csv,activity_threshold_and_frozen_evidence_available
58,1917262,realm/realm-core,realm/realm-core,8244,2011-06-18T21:18:46Z,"Object Oriented,Document",realm_realm-core_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/realm_realm-core_2023.csv,activity_threshold_and_frozen_evidence_available
59,95817032,edgedb/edgedb,edgedb/edgedb,8131,2017-06-29T20:30:48Z,"Object Oriented,Relational",edgedb_edgedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/edgedb_edgedb_2023.csv,activity_threshold_and_frozen_evidence_available
60,52080367,CUBRID/cubrid,CUBRID/cubrid,7736,2016-02-19T10:25:32Z,"Object Oriented,Relational",CUBRID_cubrid_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/CUBRID_cubrid_2023.csv,activity_threshold_and_frozen_evidence_available
61,1050944,infinispan/infinispan,infinispan/infinispan,7337,2010-11-04T12:33:19Z,Key-value,infinispan_infinispan_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/infinispan_infinispan_2023.csv,activity_threshold_and_frozen_evidence_available
62,478288303,nuclia/nucliadb,nuclia/nucliadb,7256,2022-04-05T20:21:54Z,Vector,nuclia_nucliadb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/nuclia_nucliadb_2023.csv,activity_threshold_and_frozen_evidence_available
63,195619075,vdaas/vald,vdaas/vald,7085,2019-07-07T06:42:22Z,Vector,vdaas_vald_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/vdaas_vald_2023.csv,activity_threshold_and_frozen_evidence_available
64,182849188,delta-io/delta,delta-io/delta,6713,2019-04-22T18:56:51Z,Wide column,delta-io_delta_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/delta-io_delta_2023.csv,activity_threshold_and_frozen_evidence_available
65,86868560,TileDB-Inc/TileDB,TileDB-Inc/TileDB,6393,2017-03-31T23:44:23Z,Array,TileDB-Inc_TileDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/TileDB-Inc_TileDB_2023.csv,activity_threshold_and_frozen_evidence_available
66,496817075,GlareDB/glaredb,GlareDB/glaredb,5905,2022-05-27T00:52:47Z,Relational,GlareDB_glaredb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/GlareDB_glaredb_2023.csv,activity_threshold_and_frozen_evidence_available
67,130688011,meilisearch/meilisearch,meilisearch/meilisearch,5552,2018-04-23T11:45:28Z,"Document,Search Engine",meilisearch_meilisearch_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/meilisearch_meilisearch_2023.csv,activity_threshold_and_frozen_evidence_available
68,276293034,apache/age,apache/age,5007,2020-07-01T06:15:47Z,Graph,apache_age_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_age_2023.csv,activity_threshold_and_frozen_evidence_available
69,19816070,MariaDB/server,MariaDB/server,4735,2014-05-15T10:58:50Z,Relational,MariaDB_server_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/MariaDB_server_2023.csv,activity_threshold_and_frozen_evidence_available
70,31006158,apache/ignite,apache/ignite,4719,2015-02-19T08:00:05Z,Key-value,apache_ignite_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_ignite_2023.csv,activity_threshold_and_frozen_evidence_available
71,41349039,dgraph-io/dgraph,dgraph-io/dgraph,4548,2015-08-25T07:15:56Z,Graph,dgraph-io_dgraph_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/dgraph-io_dgraph_2023.csv,activity_threshold_and_frozen_evidence_available
72,346976717,4paradigm/OpenMLDB,4paradigm/OpenMLDB,4264,2021-03-12T07:18:31Z,"Relational,Time Series",4paradigm_OpenMLDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/4paradigm_OpenMLDB_2023.csv,activity_threshold_and_frozen_evidence_available
73,206417,apache/couchdb,apache/couchdb,4227,2009-05-21T02:03:38Z,Document,apache_couchdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_couchdb_2023.csv,activity_threshold_and_frozen_evidence_available
74,201403923,activeloopai/deeplake,activeloopai/deeplake,4195,2019-08-09T06:17:59Z,Vector,activeloopai_deeplake_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/activeloopai_deeplake_2023.csv,activity_threshold_and_frozen_evidence_available
75,396856161,authzed/spicedb,authzed/spicedb,4050,2021-08-16T15:32:09Z,Object Oriented,authzed_spicedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/authzed_spicedb_2023.csv,activity_threshold_and_frozen_evidence_available
76,581145740,ByConity/ByConity,ByConity/ByConity,3888,2022-12-22T11:50:32Z,Relational,ByConity_ByConity_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ByConity_ByConity_2023.csv,activity_threshold_and_frozen_evidence_available
77,11695619,eXist-db/exist,eXist-db/exist,3882,2013-07-26T21:53:48Z,"Document,Native XML",eXist-db_exist_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/eXist-db_exist_2023.csv,activity_threshold_and_frozen_evidence_available
78,420965027,cnosdb/cnosdb,cnosdb/cnosdb,3881,2021-10-25T09:47:14Z,"Relational,Time Series",cnosdb_cnosdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cnosdb_cnosdb_2023.csv,activity_threshold_and_frozen_evidence_available
79,49412556,quickwit-oss/tantivy,quickwit-oss/tantivy,3755,2016-01-11T08:32:16Z,Document,quickwit-oss_tantivy_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/quickwit-oss_tantivy_2023.csv,activity_threshold_and_frozen_evidence_available
80,449924556,tigrisdata/tigris,tigrisdata/tigris,3750,2022-01-20T02:16:49Z,Document,tigrisdata_tigris_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/tigrisdata_tigris_2023.csv,activity_threshold_and_frozen_evidence_available
