repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,activity_count,evidence_filename,evidence_available,evidence_path,seed_boundary_reason
65259211,xap/xap,xap/xap,1308,,Key-value,1308,xap_xap_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/xap_xap_2023.csv,activity_threshold_and_frozen_evidence_available
30753733,percona/percona-server,percona/percona-server,1273,2015-02-13T11:32:01Z,Relational,1273,percona_percona-server_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/percona_percona-server_2023.csv,activity_threshold_and_frozen_evidence_available
661663226,maxnowack/signaldb,maxnowack/signaldb,1257,2023-07-03T11:21:29Z,Document,1257,maxnowack_signaldb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/maxnowack_signaldb_2023.csv,activity_threshold_and_frozen_evidence_available
67904342,Expensify/Bedrock,Expensify/Bedrock,1230,2016-09-11T01:55:45Z,Relational,1230,Expensify_Bedrock_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/Expensify_Bedrock_2023.csv,activity_threshold_and_frozen_evidence_available
184981,memcached/memcached,memcached/memcached,1208,2009-04-24T23:34:25Z,Key-value,1208,memcached_memcached_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/memcached_memcached_2023.csv,activity_threshold_and_frozen_evidence_available
323389945,logicalclocks/rondb,logicalclocks/rondb,1199,2020-12-21T16:25:57Z,"Relational,Key-value",1199,logicalclocks_rondb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/logicalclocks_rondb_2023.csv,activity_threshold_and_frozen_evidence_available
198466472,terminusdb/terminusdb,terminusdb/terminusdb,1196,2019-07-23T16:15:27Z,"Graph,Document,RDF",1196,terminusdb_terminusdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/terminusdb_terminusdb_2023.csv,activity_threshold_and_frozen_evidence_available
23247808,rqlite/rqlite,rqlite/rqlite,1178,2014-08-23T04:31:18Z,Relational,1178,rqlite_rqlite_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/rqlite_rqlite_2023.csv,activity_threshold_and_frozen_evidence_available
80087836,dgraph-io/badger,dgraph-io/badger,1165,2017-01-26T05:09:49Z,Key-value,1165,dgraph-io_badger_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/dgraph-io_badger_2023.csv,activity_threshold_and_frozen_evidence_available
50594316,senx/warp10-platform,senx/warp10-platform,1067,2016-01-28T15:56:55Z,Time Series,1067,senx_warp10-platform_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/senx_warp10-platform_2023.csv,activity_threshold_and_frozen_evidence_available
150013328,cberner/redb,cberner/redb,1031,2018-09-23T18:30:14Z,Key-value,1031,cberner_redb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cberner_redb_2023.csv,activity_threshold_and_frozen_evidence_available
714074,pouchdb/pouchdb,pouchdb/pouchdb,1015,2010-06-10T18:34:24Z,Document,1015,pouchdb_pouchdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/pouchdb_pouchdb_2023.csv,activity_threshold_and_frozen_evidence_available
9595928,mirage/irmin,mirage/irmin,1005,2013-04-22T09:52:58Z,Document,1005,mirage_irmin_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mirage_irmin_2023.csv,activity_threshold_and_frozen_evidence_available
543276238,libsql/libsql,libsql/libsql,973,2022-09-29T18:56:16Z,Relational,973,libsql_libsql_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/libsql_libsql_2023.csv,activity_threshold_and_frozen_evidence_available
510375115,splitgraph/seafowl,splitgraph/seafowl,966,2022-07-04T13:41:52Z,Relational,966,splitgraph_seafowl_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/splitgraph_seafowl_2023.csv,activity_threshold_and_frozen_evidence_available
168712350,Snapchat/KeyDB,Snapchat/KeyDB,929,2019-02-01T14:50:00Z,Key-value,929,Snapchat_KeyDB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/Snapchat_KeyDB_2023.csv,activity_threshold_and_frozen_evidence_available
25780780,AlaSQL/alasql,AlaSQL/alasql,871,2014-10-26T16:30:37Z,"Relational,Document",871,AlaSQL_alasql_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/AlaSQL_alasql_2023.csv,activity_threshold_and_frozen_evidence_available
511030127,ceramicstudio/js-composedb,ceramicstudio/js-composedb,844,2022-07-06T07:15:37Z,Graph,844,ceramicstudio_js-composedb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ceramicstudio_js-composedb_2023.csv,activity_threshold_and_frozen_evidence_available
5683653,apache/drill,apache/drill,794,2012-09-05T07:00:26Z,"Wide column,Document",794,apache_drill_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_drill_2023.csv,activity_threshold_and_frozen_evidence_available
4604367,sirixdb/sirix,sirixdb/sirix,750,2012-06-09T02:22:14Z,Document,750,sirixdb_sirix_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/sirixdb_sirix_2023.csv,activity_threshold_and_frozen_evidence_available
116407410,replikativ/datahike,replikativ/datahike,695,2018-01-05T16:57:28Z,,695,replikativ_datahike_2023.csv,False,,candidate_missing_frozen_evidence
207663235,cmu-db/bustub,cmu-db/bustub,689,2019-09-10T21:06:59Z,Relational,689,cmu-db_bustub_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cmu-db_bustub_2023.csv,activity_threshold_and_frozen_evidence_available
23013460,lsst/qserv,lsst/qserv,677,2014-08-16T07:50:36Z,Relational,677,lsst_qserv_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/lsst_qserv_2023.csv,activity_threshold_and_frozen_evidence_available
