project_id,node_role,edge_observed,zero_edge_seed
118498743,expanded_target_project,True,False
118517813,expanded_target_project,True,False
118649335,expanded_target_project,True,False
118668940,expanded_target_project,True,False
118764574,expanded_target_project,True,False
1187853,expanded_target_project,True,False
11892534,expanded_target_project,True,False
119205516,expanded_target_project,True,False
119272629,expanded_target_project,True,False
11939484,expanded_target_project,True,False
1194027,expanded_target_project,True,False
119419195,expanded_target_project,True,False
119439276,expanded_target_project,True,False
119460813,expanded_target_project,True,False
119590498,expanded_target_project,True,False
11966919,expanded_target_project,True,False
11974348,expanded_target_project,True,False
119818775,expanded_target_project,True,False
120011481,expanded_target_project,True,False
120157734,expanded_target_project,True,False
120325908,expanded_target_project,True,False
1204125,expanded_target_project,True,False
120511966,expanded_target_project,True,False
120538653,expanded_target_project,True,False
120606279,expanded_target_project,True,False
120627608,expanded_target_project,True,False
1207300,expanded_target_project,True,False
12079212,expanded_target_project,True,False
12080551,expanded_target_project,True,False
120894,expanded_target_project,True,False
120938309,expanded_target_project,True,False
1210290,expanded_target_project,True,False
121086193,expanded_target_project,True,False
121236494,expanded_target_project,True,False
121337784,expanded_target_project,True,False
12140830,expanded_target_project,True,False
121554427,expanded_target_project,True,False
121587063,expanded_target_project,True,False
121663790,expanded_target_project,True,False
121676470,expanded_target_project,True,False
12179494,expanded_target_project,True,False
121834895,expanded_target_project,True,False
121870635,expanded_target_project,True,False
121898717,expanded_target_project,True,False
12191244,expanded_target_project,True,False
122193808,expanded_target_project,True,False
122235145,expanded_target_project,True,False
122282812,expanded_target_project,True,False
122505634,expanded_target_project,True,False
122508361,expanded_target_project,True,False
122782022,expanded_target_project,True,False
123020983,expanded_target_project,True,False
123068215,expanded_target_project,True,False
123148813,expanded_target_project,True,False
123303402,expanded_target_project,True,False
123345344,expanded_target_project,True,False
123410,expanded_target_project,True,False
12344532,expanded_target_project,True,False
123475536,expanded_target_project,True,False
123518148,expanded_target_project,True,False
123590537,expanded_target_project,True,False
123649788,expanded_target_project,True,False
123684665,expanded_target_project,True,False
123690489,expanded_target_project,True,False
12390121,expanded_target_project,True,False
123986201,expanded_target_project,True,False
123993596,expanded_target_project,True,False
124042164,expanded_target_project,True,False
12421065,expanded_target_project,True,False
12426527,expanded_target_project,True,False
124275922,expanded_target_project,True,False
124290783,expanded_target_project,True,False
124315604,seed_project,True,False
12440855,expanded_target_project,True,False
124409889,expanded_target_project,True,False
124417205,expanded_target_project,True,False
124564425,expanded_target_project,True,False
124602093,expanded_target_project,True,False
124657854,expanded_target_project,True,False
124701774,expanded_target_project,True,False
124802455,expanded_target_project,True,False
12488647,expanded_target_project,True,False
12488845,expanded_target_project,True,False
12499251,expanded_target_project,True,False
125234630,seed_project,True,False
125238132,expanded_target_project,True,False
125266328,expanded_target_project,True,False
125366028,expanded_target_project,True,False
12550138,expanded_target_project,True,False
1257070,expanded_target_project,True,False
12574344,expanded_target_project,True,False
125824259,seed_project,True,False
12584841,expanded_target_project,True,False
125863507,expanded_target_project,True,False
126215645,expanded_target_project,True,False
126238614,expanded_target_project,True,False
126250425,expanded_target_project,True,False
126382836,expanded_target_project,True,False
126412363,expanded_target_project,True,False
126465227,expanded_target_project,True,False
12682522,expanded_target_project,True,False
126914245,expanded_target_project,True,False
127026401,expanded_target_project,True,False
127101557,expanded_target_project,True,False
12711522,expanded_target_project,True,False
12712630,expanded_target_project,True,False
127201711,expanded_target_project,True,False
127224346,expanded_target_project,True,False
127268366,expanded_target_project,True,False
127420809,expanded_target_project,True,False
127425805,expanded_target_project,True,False
12791642,expanded_target_project,True,False
128089774,expanded_target_project,True,False
128096570,expanded_target_project,True,False
128529416,expanded_target_project,True,False
128693525,expanded_target_project,True,False
1287669,expanded_target_project,True,False
128778692,expanded_target_project,True,False
128842710,expanded_target_project,True,False
128887107,expanded_target_project,True,False
129072319,seed_project,True,False
129137599,expanded_target_project,True,False
12920091,expanded_target_project,True,False
129436009,seed_project,True,False
129449094,expanded_target_project,True,False
129549229,expanded_target_project,True,False
1295612,expanded_target_project,True,False
129563456,expanded_target_project,True,False
129640825,expanded_target_project,True,False
129648001,expanded_target_project,True,False
129717717,expanded_target_project,True,False
12974177,expanded_target_project,True,False
129883659,expanded_target_project,True,False
129954828,expanded_target_project,True,False
130013,expanded_target_project,True,False
130040931,expanded_target_project,True,False
130084383,expanded_target_project,True,False
130107902,expanded_target_project,True,False
130140573,expanded_target_project,True,False
130237506,expanded_target_project,True,False
1303538,expanded_target_project,True,False
130370449,expanded_target_project,True,False
130386123,expanded_target_project,True,False
130546049,expanded_target_project,True,False
13057937,expanded_target_project,True,False
130688011,seed_project,True,False
130727736,expanded_target_project,True,False
13078968,expanded_target_project,True,False
130865762,expanded_target_project,True,False
13092745,expanded_target_project,True,False
131014812,expanded_target_project,True,False
