node_u,node_v,weight,directed_edge_count
120538653,496817075,18,1
120538653,510375115,10,1
120606279,130688011,1,1
120606279,79317191,1,1
121587063,341631350,1,1
121587063,49412556,5,1
121663790,19961085,3,1
121663790,34533675,2,1
124802455,268163609,35,1
124802455,351806852,1,1
124802455,358917318,16,1
124802455,496817075,13,1
12488647,30449481,16,1
12488647,6358188,2,1
12488647,7437073,22,1
12499251,166515022,3,1
12499251,19961085,1,1
12499251,20473418,4,1
12499251,20587599,1,1
12499251,206424,1,1
12499251,334274271,1,1
12499251,3786237,22,1
12499251,453068084,22,1
12499251,6358188,1,1
12499251,77385607,10,1
125234630,156018,1,1
125234630,259445878,1,1
125234630,619008516,1,1
125234630,90299507,5,1
125266328,17165658,8,1
125266328,31315021,181,1
125266328,60246359,1,1
12574344,220186120,9,1
12574344,396856161,2,1
12574344,60377070,27,1
12574344,94593596,6,1
125824259,16563587,1,1
125824259,177210627,1,1
125824259,2056549,7,1
125824259,23664475,1,1
125824259,283325,3,1
125824259,30676648,1,1
125824259,33745913,1,1
125824259,358917250,1,1
125824259,4463453,9,1
125824259,51905353,3,1
125824259,54412018,1,1
125824259,927442,1,1
126238614,220186120,10,1
126238614,422821402,10,1
126412363,208728772,2,1
126412363,388946490,6,1
126412363,60246359,2,1
12682522,19257422,1,1
12682522,60246359,1,1
12682522,9342529,3,1
127420809,268163609,9,1
127420809,357707809,20,1
1287669,19961085,1,1
1287669,388946490,2,1
1287669,6358188,1,1
129072319,27522241,1,1
129072319,27522271,1,1
129072319,27522282,1,1
129717717,150954997,1,1
129717717,385634291,28,1
129883659,396867188,10,1
129883659,7437073,24,1
129954828,17165658,25,1
1303538,156018,2,1
1303538,22475123,1,1
130688011,155243481,1,1
130688011,177210627,18,1
130688011,184286875,25,1
130688011,189476904,175,1
130688011,190416463,2,1
130688011,192624594,9,1
130688011,196057608,1,1
130688011,197814629,8,1
130688011,22531552,121,1
130688011,241092383,354,1
130688011,268163609,1,1
130688011,26850443,9,1
130688011,277186121,1,1
130688011,287743349,139,1
130688011,288485773,211,1
130688011,288487894,305,1
130688011,295544240,16,1
130688011,298565987,864,1
130688011,301727732,34,1
130688011,305468604,1,1
130688011,30667298,2,1
130688011,306769011,751,1
130688011,31830551,1,1
130688011,357707809,6,1
130688011,367261349,3,1
130688011,41473746,20,1
130688011,471621386,1,1
130688011,513542067,2,1
130688011,52300938,2,1
130688011,528342545,36,1
130688011,52855516,1,1
130688011,54503347,18,1
130688011,60246359,1,1
130688011,619008516,1,1
130688011,67836789,31,1
130688011,724712,5,1
130688011,79317191,1,1
130688011,81227005,1,1
130688011,84517704,72,1
130688011,9155431,1,1
130688011,92969352,6,1
130688011,96382888,1,1
13078968,158975124,16,1
13078968,19961085,1,1
13078968,302827809,4,1
13078968,388946490,1,1
13078968,453068084,1,1
13078968,542714,4,1
13078968,5844474,1,1
13078968,6358188,2,1
13078968,660776503,1,1
13078968,7437073,10,1
13124802,137362393,7,1
13124802,150954997,2,1
13124802,151233646,1,1
13124802,159294525,1,1
13124802,161681291,2,1
13124802,166515022,1,1
13124802,1903522,1,1
13124802,223485832,29,1
13124802,22360263,1,1
13124802,22484898,1,1
13124802,22711503,1,1
13124802,23096959,1,1
13124802,24420506,1,1
13124802,24494032,1,1
13124802,254351989,1,1
13124802,25777459,3,1
13124802,27522271,1,1
13124802,27576132,4,1
13124802,28366058,3,1
13124802,295544240,3,1
13124802,29759715,1,1
13124802,31288958,1,1
13124802,33258973,2,1
13124802,343576900,1,1
13124802,35823699,1,1
13124802,358917318,5,1
13124802,36960321,13,1
13124802,411318591,1,1
13124802,4542716,1,1
13124802,477896448,1,1
13124802,49086513,1,1
13124802,513542067,1,1
13124802,518164214,1,1
13124802,619008516,1,1
13124802,63809205,1,1
13124802,6838921,17,2
13124802,724712,1,1
13124802,74106774,1,1
13124802,75821432,1,1
13124802,7691631,1,1
13124802,81598961,1,1
13124802,94262864,8,1
132145189,150954997,21,1
132145189,16563587,1,1
132145189,396856161,27,1
132145189,41986369,13,1
132145189,422821402,30,1
132145189,6838921,2,1
13273703,17165658,2,1
13273703,19961085,1,1
13310527,141376301,1,1
13310527,156018,12,1
13310527,16563587,33,1
13310527,196353673,3,1
13310527,208728772,1,1
13310527,41349039,2,1
13310527,453068084,2,1
13310527,60246359,11,1
13310527,678214856,1,1
13310527,6934395,1,1
13310527,99919302,9,1
133431470,56128733,1,1
133431470,60246359,2,1
133442384,266444815,2,1
133442384,75425073,1,1
13404515,166515022,1,1
13404515,206444,1,1
13404515,3786237,4,1
13404515,49876476,1,1
13404515,6358188,1,1
13404515,95614931,1,1
1341324,639434928,7,1
1341324,75425073,1,1
135060366,268163609,5,1
135060366,453068084,2,1
1357199,158975124,7,1
1357199,25780780,1,1
1357199,302827809,1,1
1357199,357707809,10,1
1357199,388946490,1,1
1357199,411979983,8,1
1357199,453068084,1,1
1357199,5349565,1,1
1357199,5844474,21,1
1357199,60377070,7,1
1357199,6427744,2,1
1357199,7437073,4,1
1357796,176278485,6,1
1357796,1917262,2,1
1361792,166515022,4,1
1361792,3786237,1,1
13624859,30449481,15,1
1362490,20089857,21,1
1362490,206417,15,1
1362490,208728772,3,1
1362490,24494032,3,1
1362490,268163609,18,1
1362490,31315021,57,1
1362490,346976717,7,1
1362490,351806852,3,1
1362490,388946490,1,1
1362490,41349039,9,1
1362490,528766495,6,1
1362490,56128733,3,1
1362490,60246359,2,1
1362490,99919302,3,1
13628513,344711168,9,1
13628513,385634291,37,1
136494223,195619075,1,1
136494223,396856161,13,1
136510559,302827809,2,1
136510559,358917318,3,1
13655949,17165658,3,1
13655949,507775,2,1
13655949,60246359,10,1
13655949,6452529,1,1
13655949,7083240,1,1
137362393,196353673,1,1
