project_id,community_id,community_size
183247201,2,106
183302822,10,28
183365721,2,106
183477487,0,581
18351848,1,194
183559023,0,581
18369373,2,106
183781681,8,12
183929744,0,581
184128064,9,23
18413405,2,106
184148355,0,581
184149296,10,28
184227406,2,106
184286875,16,71
184304089,22,132
184312964,6,14
184460,5,802
184463891,1,194
184484074,5,802
1845223,1,194
184635772,2,106
184636558,3,40
184654298,5,802
18469325,24,23
184734634,9,23
184792968,2,106
18492045,1,194
184955020,9,23
184981,2,106
185240903,3,40
185278617,17,85
185478926,12,32
185651869,29,24
185861173,2,106
186022916,2,106
186332888,2,106
186765948,3,40
186899882,5,802
186904487,22,132
187042471,0,581
187086161,2,106
187113923,10,28
18712703,6,14
187231162,10,28
187269923,30,783
1874483,1,194
187523334,4,232
18765044,2,106
187694683,8,12
187811455,26,284
187847963,2,106
18785884,5,802
187879115,1,194
187943341,8,12
18800032,12,32
188057676,29,24
1885237,4,232
188779637,1,194
188811692,33,36
188828946,3,40
188836864,0,581
18891741,15,234
18893367,13,823
189012294,4,232
189029839,3,40
189044704,2,106
18906266,8,12
189447606,5,802
189476904,16,71
189621607,2,106
19000107,3,40
190051296,0,581
190163438,0,581
19016985,1,194
190198180,9,23
19030037,6,14
1903522,4,232
190416463,8,12
190478838,1,194
190704068,10,28
1908577,3,40
190994178,8,12
19101720,21,66
191163758,7,72
191249232,3,40
19128505,0,581
191316757,6,14
19138780,2,106
191461487,8,12
1915437,15,234
1916228,4,232
191655189,8,12
1917262,18,10
191751505,17,85
191779319,0,581
191817804,1,194
191838304,1,194
191880399,10,28
191937949,9,23
191942768,3,40
191973776,2,106
191988685,2,106
192345200,1,194
192366753,8,12
19244865,2,106
19257422,19,453
192587835,1,194
192624594,2,106
192625306,14,109
192625525,0,581
192625955,2,106
192626254,0,581
192631273,13,823
192689401,0,581
192768713,2,106
192805335,16,71
192925833,8,12
192958794,15,234
193056466,4,232
19308738,3,40
1931356,4,232
193156399,8,12
193215554,19,453
19323986,1,194
19330466,1,194
19330736,0,581
193500153,16,71
193784341,2,106
193784379,2,106
193929371,8,12
19449303,6,14
194617274,20,9
194645305,5,802
194829679,2,106
19485249,4,232
195088274,3,40
19512853,2,106
195277793,0,581
195619075,31,66
195747855,1,194
19582982,13,823
195895847,6,14
195927552,12,32
196057608,14,109
19608522,2,106
19618350,4,232
196253599,5,802
196353673,3,40
196358205,10,28
196414933,2,106
19641638,3,40
196555066,1,194
196587809,6,14
196629842,0,581
196639786,27,504
196650278,18,10
196680411,3,40
196758769,4,232
19684359,1,194
19689699,1,194
197015643,23,25
197077443,10,28
197139729,11,84
197176365,0,581
197220033,3,40
197281609,3,40
197299111,1,194
197367072,1,194
19746601,0,581
197584193,6,14
197658090,13,823
197709259,3,40
197730309,1,194
197814629,3,40
197858776,2,106
19794451,2,106
198009353,16,71
19816070,11,84
198288319,0,581
1983092,5,802
198350484,6,14
198466472,0,581
198484780,6,14
198616978,20,9
198683574,2,106
198711527,8,12
19873619,5,802
198802259,3,40
198966166,0,581
199041238,3,40
199060308,2,106
1993762,25,133
199398069,12,32
199488860,6,14
19953044,13,823
19961085,3,40
199684110,0,581
199703788,2,106
19975250,1,194
199813084,18,10
199863976,0,581
199921433,4,232
199940050,1,194
199997323,1,194
200030123,5,802
20015974,3,40
200259335,14,109
200271950,10,28
