metric,rank,value,cdf,ccdf
directed_cross_project_edge_weight,7103,4,0.7402813965607087,0.25982282438770193
directed_cross_project_edge_weight,7104,4,0.7403856175091194,0.2597186034392913
directed_cross_project_edge_weight,7105,4,0.7404898384575299,0.25961438249088065
directed_cross_project_edge_weight,7106,4,0.7405940594059406,0.25951016154247003
directed_cross_project_edge_weight,7107,4,0.7406982803543513,0.2594059405940594
directed_cross_project_edge_weight,7108,4,0.7408025013027618,0.2593017196456488
directed_cross_project_edge_weight,7109,4,0.7409067222511725,0.2591974986972381
directed_cross_project_edge_weight,7110,4,0.7410109431995832,0.2590932777488275
directed_cross_project_edge_weight,7111,4,0.7411151641479937,0.2589890568004169
directed_cross_project_edge_weight,7112,4,0.7412193850964044,0.2588848358520063
directed_cross_project_edge_weight,7113,4,0.741323606044815,0.2587806149035956
directed_cross_project_edge_weight,7114,4,0.7414278269932256,0.258676393955185
directed_cross_project_edge_weight,7115,4,0.7415320479416363,0.2585721730067744
directed_cross_project_edge_weight,7116,4,0.7416362688900469,0.2584679520583637
directed_cross_project_edge_weight,7117,4,0.7417404898384575,0.2583637311099531
directed_cross_project_edge_weight,7118,4,0.7418447107868682,0.25825951016154247
directed_cross_project_edge_weight,7119,4,0.7419489317352788,0.25815528921313186
directed_cross_project_edge_weight,7120,4,0.7420531526836894,0.2580510682647212
directed_cross_project_edge_weight,7121,4,0.7421573736321001,0.25794684731631057
directed_cross_project_edge_weight,7122,4,0.7422615945805107,0.25784262636789995
directed_cross_project_edge_weight,7123,4,0.7423658155289213,0.25773840541948934
directed_cross_project_edge_weight,7124,4,0.7424700364773319,0.25763418447107866
directed_cross_project_edge_weight,7125,4,0.7425742574257426,0.25752996352266805
directed_cross_project_edge_weight,7126,4,0.7426784783741532,0.25742574257425743
directed_cross_project_edge_weight,7127,4,0.7427826993225638,0.2573215216258468
directed_cross_project_edge_weight,7128,4,0.7428869202709745,0.25721730067743614
directed_cross_project_edge_weight,7129,4,0.7429911412193851,0.25711307972902553
directed_cross_project_edge_weight,7130,4,0.7430953621677957,0.2570088587806149
directed_cross_project_edge_weight,7131,4,0.7431995831162064,0.2569046378322043
directed_cross_project_edge_weight,7132,4,0.7433038040646169,0.2568004168837936
directed_cross_project_edge_weight,7133,4,0.7434080250130276,0.256696195935383
directed_cross_project_edge_weight,7134,4,0.7435122459614383,0.2565919749869724
