target_project_id,in_degree,in_strength,target_coverage,target_role,target_category_label,target_category_source,cumulative_weight_share
155368246,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9302531408752716
159109434,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9303035100090664
178249461,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9303538791428612
204671232,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.930404248276656
20653934,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9304546174104508
32246828,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9305049865442456
33884891,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9305553556780404
37290678,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9306057248118352
397996130,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.93065609394563
423907006,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.930706463079425
487009502,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9307568322132196
527526335,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9308072013470146
554411496,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9308575704808094
5569059,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9309079396146042
559669561,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.930958308748399
628739599,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9310086778821938
668673665,2,7,0.0068027210884353,expanded_target_project,Graph,dbms_metadata,0.9310590470159886
103506984,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9311094161497834
125366028,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9311597852835782
126215645,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.931210154417373
131389850,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9312605235511678
140656334,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9313108926849628
15625834,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9313612618187574
15861701,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9314116309525524
17002442,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.931462000086347
183247201,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.931512369220142
196650278,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9315627383539368
196680411,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9316131074877316
198966166,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9316634766215264
21488145,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9317138457553212
222960238,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.931764214889116
22571838,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9318145840229108
229145432,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9318649531567056
249188235,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9319153222905004
276293992,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9319656914242952
279622976,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.93201606055809
297975339,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9320664296918848
298223290,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9321167988256795
3080628,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9321671679594744
326725339,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9322175370932692
348444625,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.932267906227064
35437397,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9323182753608588
364195857,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9323686444946536
366186609,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9324190136284484
380305028,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9324693827622432
38525117,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.932519751896038
40306512,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9325701210298328
420854474,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9326204901636276
422205507,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9326708592974224
435955533,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9327212284312172
455600,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9327715975650122
458793640,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.932821966698807
464684932,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9328723358326018
47219360,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9329227049663966
479752228,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9329730741001914
483146498,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9330234432339862
513764614,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.933073812367781
52037627,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9331241815015758
530449130,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9331745506353708
536198098,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9332249197691654
560495,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9332752889029604
560657499,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.933325658036755
569901162,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.93337602717055
571390155,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9334263963043448
579730545,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9334767654381396
58067876,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9335271345719344
607247018,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9335775037057292
636843026,1,7,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.933627872839524
